blockNumber,logIndex,quoteIn,baseIn,quoteOut,baseOut,totalSupply,quoteReserve,baseReserve
136268527,12,0,0.010647656551086011,0.00065996,0,16.8387396854854,4.20661907,67.845154010113770408
136287095,4,0,0.004983893405307473,0.00030884,0,16.8387396854854,4.20631023,67.850137903519077881
136289686,13,0,0.001290643093870493,0.00007997,0,16.8387396854854,4.20623026,67.851428546612948374
136307726,75,0,9.33691406844E-7,5E-8,0,16.8387396854854,4.20623021,67.851429480304355218
136329425,4,0,0.004011940348439482,0.00024856,0,16.8387396854854,4.20598165,67.8554414206527947
136343019,5,0.00200013,0,0,0.032236802231487692,16.8387396854854,4.20798178,67.823204618421307008
136343051,15,0.00162081,0,0,0.026100702576198413,16.8387396854854,4.20960259,67.797103915845108595
136352580,20,0,0.025713390192783903,0.00159516,0,16.8387396854854,4.20800743,67.822817306037892498
136356671,11,0,0.038716169667322555,0.00239953,0,16.8387396854854,4.2056079,67.861533475705215053
136368479,62,0,0.01882665246267465,0.00116583,0,16.8387396854854,4.20444207,67.880360128167889703
136387544,75,0,9.55445730463E-7,5E-8,0,16.8387396854854,4.20444202,67.880361083613620166
136387547,6,0.1107546,0,0,1.741380591252588956,16.8387396854854,4.31519662,66.13898049236103121
136387548,5,0,1.726321891102560211,0.10971421,0,16.8387396854854,4.20548241,67.865302383463591421
136397110,29,0,0.033892052204906709,0.00209811,0,16.8387396854854,4.2033843,67.89919443566849813
136407017,115,0.00236551,0,0,0.038170592098121519,16.8387396854854,4.20574981,67.861023843570376611
136408952,31,0.00023249,0,0,0.003749212488246131,16.8387396854854,4.2059823,67.85727463108213048
136409663,17,0,0.045631602692407769,0.00282506,0,16.8387396854854,4.20315724,67.902906233774538249
136409688,16,0.001752,0,0,0.028278002392090227,16.8387396854854,4.20490924,67.874628231382448022
136421714,43,0,0.02,0.00123803,0,16.8387396854854,4.20367121,67.894628231382448022
136422558,33,0.01179823,0,0,0.189928323102146342,16.8387396854854,4.21546944,67.70469990828030168
136422559,8,0,0.095763370116668641,0.00595107,0,16.8387396854854,4.20951837,67.800463278396970321
136450124,11,0,0.24,0.01484089,0,16.8387396854854,4.19467748,68.040463278396970321
136450125,7,0.01061436,0,0,0.171651768121903892,16.8387396854854,4.20529184,67.868811510275066429
136464063,31,0.00183769,0,0,0.029630535889888556,16.8387396854854,4.20712953,67.839180974385177873
136468318,66,0.00071558,0,0,0.011530864800942692,16.8387396854854,4.20784511,67.827650109584235181
136471088,75,0,0.000001075289527933,6E-8,0,16.8387396854854,4.20784505,67.827651184873763114
136483792,13,0,0.05957213455669698,0.0036906,0,16.8387396854854,4.20415445,67.887223319430460094
136485032,10,0.00260895,0,0,0.042081251583468931,16.8387396854854,4.2067634,67.845142067846991163
136486338,5,0.0035,0,0,0.056371619621038454,16.8387396854854,4.2102634,67.788770448225952709
136486734,14,0,0.023054829864087569,0.0014307,0,16.8387396854854,4.2088327,67.811825278090040278
136488001,28,0,0.0025,0.00015508,0,16.8387396854854,4.20867762,67.814325278090040278
136495183,23,0,0.027,0.00167416,0,16.8387396854854,4.20700346,67.841325278090040278
136500169,14,0,0.059349829477524032,0.00367537,0,16.8387396854854,4.20332809,67.90067510756756431
136507450,18,0.00061794,0,0,0.009975762459203988,16.8387396854854,4.20394603,67.890699345108360322
136518236,11,0,0.023277897200557026,0.00144019,0,16.8387396854854,4.20250584,67.913977242308917348
136547799,32,0,0.031618540751993155,0.00195465,0,16.8387396854854,4.20055119,67.945595783060910503
136555422,4,0,0.03,0.00185292,0,16.8387396854854,4.19869827,67.975595783060910503
136577021,11,0,0.0545766,0.00336668,0,16.8387396854854,4.19533159,68.030172383060910503
136577366,80,0.01368863,0,0,0.221138341834602827,16.8387396854854,4.20902022,67.809034041226307676
136577369,25,0,0.062211578712547012,0.0038561,0,16.8387396854854,4.20516412,67.871245619938854688
136577371,103,0,0.128,0.00791174,0,16.8387396854854,4.19725238,67.999245619938854688
136577390,53,0.00640154,0,0,0.103501044668182195,16.8387396854854,4.20365392,67.895744575270672493
136577392,201,0.00299836,0,0,0.048369619291928276,16.8387396854854,4.20665228,67.847374955978744217
136577421,189,0.01461801,0,0,0.2348343880114753,16.8387396854854,4.22127029,67.612540567967268917
136577983,91,0,0.192916836519578156,0.01200416,0,16.8387396854854,4.20926613,67.805457404486847073
136581550,9,0,0.713318067220380905,0.04379908,0,16.8387396854854,4.16546705,68.518775471707227978
136581551,4,0.04740364,0,0,0.77059892161459176,16.8387396854854,4.21287069,67.748176550092636218
136581553,6,0,0.118154129996006944,0.00733087,0,16.8387396854854,4.20553982,67.866330680088643162
136587150,4,0.0011594,0,0,0.018695154657665464,16.8387396854854,4.20669922,67.847635525430977698
136590750,13,0,0.577810730738912701,0.03550537,0,16.8387396854854,4.17119385,68.425446256169890399
136590751,10,0.03257055,0,0,0.52989380680229828,16.8387396854854,4.2037644,67.895552449367592119
136591000,17,0,0.577568857883054672,0.03544105,0,16.8387396854854,4.16832335,68.473121307250646791
136591001,7,0.03543525,0,0,0.576902587142028711,16.8387396854854,4.2037586,67.89621872010861808
136591997,17,0,0.230835495468468428,0.01423653,0,16.8387396854854,4.18952207,68.127054215577086508
136591998,4,0.02044855,0,0,0.330740148091799864,16.8387396854854,4.20997062,67.796314067485286644
136592039,11,0,0.064173141892648536,0.00397921,0,16.8387396854854,4.20599141,67.86048720937793518
136592435,21,0,0.576949021368359167,0.03544024,0,16.8387396854854,4.17055117,68.437436230746294347
136592436,7,0.03265443,0,0,0.531422197069172122,16.8387396854854,4.2032056,67.906014033677122225
136592691,14,0,0.17306097532002744,0.01067946,0,16.8387396854854,4.19252614,68.079075008997149665
136592692,7,0.01076737,0,0,0.174307839854654507,16.8387396854854,4.20329351,67.904767169142495158
