blockNumber,logIndex,baseAmount,quoteAmount,price,liquidity
136340045,2,-0.00280265037501449,4.703934,1673.35489836046387889590361,79851.570244088739
136340171,3,-0.018513050773423983,31.072416,1673.386638789615607419707662,79851.570244088739
136340277,6,-0.360080660524676467,604.478774,1674.004172909714228821532969,79851.570244088739
136340527,8,-0.327112241137984415,549.327034,1674.565462945500235770214029,79851.570244088739
136340564,2,-0.001602136110291052,2.690957,1674.568212736420420266662391,79851.570244088739
136340966,3,-0.000995179615505035,1.671512,1674.569920794379274926550797,79851.570244088739
136341110,3,-0.007899385559056681,13.267931,1674.583478850048228337794735,79851.570244088739
136341261,3,-0.012415008859728457,20.852659,1674.604787597231885443505388,79851.570244088739
136342142,36,-0.004975668775779548,8.357373,1674.613327799386273342565216,79851.570244088739
136342199,4,-0.011883408233951827,19.960116,1674.633724660277714412490742,79851.570244088739
136343246,3,-0.001473779071560402,2.475469,1674.636254302849508005008545,79851.570244088739
136343325,5,-0.024902171853686113,41.828097,1674.678998071253366790759496,79851.570244088739
136343330,6,-0.007797149087707365,13.097066,1674.692381960596913678262069,79851.570244088739
136344108,4,-0.001371753648460362,2.30418,1674.694736606921655562058269,79851.570244088739
136345057,4,-0.00894836231840727,15.030937,1674.71009679614299671884419,79851.570244088739
136345457,3,-0.007460766642284556,12.532266,1674.722903634855589764997389,79851.570244088739
136345767,13,-0.004762567296956813,8,1674.73107893469877986383552,79851.570244088739
136345898,3,-0.001785956742536845,3,1674.734144677284407013365266,79851.570244088739
136346220,8,-0.006463435511991654,10.857144,1674.745239769729013045607339,79851.570244088739
136346587,3,-0.039306072567297393,66.027066,1674.81271469892846043191878,79851.570244088739
136346856,3,-0.001283294882801562,2.155748,1674.814917741044659334189098,79851.570244088739
136347109,3,-0.004613483943023928,7.75,1674.82283778003137842180698,79851.570244088739
136347121,4,-0.032453754327733158,54.51875,1674.878553227906765920818304,79851.570244088739
136347429,9,-0.006505433872005417,10.928634,1674.889721859246177244230864,79851.570244088739
136347462,18,-0.072933078005060998,122.527011,1675.014942163538167840416835,79851.570244088739
136347482,8,-0.038905024005803118,65.363888,1675.081744744333253069821658,79851.570244088739
136348647,14,-0.112246938187114672,188.599414,1675.274502795462167562188315,79851.570244088739
136348684,44,-0.006703280206302391,11.263664,1675.286015175431272668728304,79851.570244088739
136348760,3,-0.010881150539499134,18.283993,1675.304702986369758062361462,79851.570244088739
136348762,32,-0.327321004502955397,550.104861,1675.871076779754977402282624,76443.161477865572
136348772,14,-0.116784173136761671,196.316409,1676.080718153930970466955354,76443.161477865572
136349878,45,-0.000980969543046408,1.649133,1676.082479276637357581187975,76443.161477865572
136355273,26,0.000095806887802407,-0.160098,1676.082307791576142302559186,76443.161477865572
136356902,26,0.000095814988474943,-0.160112,1676.082136292041827876497536,76443.161477865572
136357133,26,0.000031938616454204,-0.053371,1676.082079125022604035962962,76443.161477865572
136357596,26,0.000031939050729316,-0.053371,1676.082021957228994751315525,76443.161477865572
136357883,26,0.000031939361464796,-0.053372,1676.081964788882124049006188,76443.161477865572
136367415,87,-0.011699989339964382,19.669272,1676.102969841953043777825564,76443.161477865572
136389179,13,-0.002963324572971292,4.981791,1676.108289976984085432653054,76443.161477865572
136389461,50,-0.00399781845424647,6.720954,1676.115467406396002573069756,76443.161477865572
136393927,78,-0.301098255865776757,506.275668,1676.656172619056945647142793,76443.161477865572
136394270,16,-0.004162442218880272,7,1676.663649268944845968342183,76443.161477865572
136394373,3,-0.003554888097523611,5.978298,1676.670034659325227145940481,76443.161477865572
136394374,4,-0.003582850141554906,6.025346,1676.676470312827337982108134,76443.161477865572
136394419,46,-0.000473370869575534,0.796079,1676.677320602597476260018654,76443.161477865572
136394449,4,-0.003557988503266476,5.983561,1676.683711640197139314877284,76443.161477865572
136394485,3,-0.00355657933451116,5.981214,1676.690100183096835824894464,76443.161477865572
136394491,5,-0.003557424018438314,5.982657,1676.696490279794649148059018,76443.161477865572
136394514,14,-0.003562491861839639,5.991203,1676.702889516319787333547226,76443.161477865572
136394529,3,-0.003580879189093788,6.022149,1676.709321818570859525455464,76443.161477865572
136394562,3,-0.003564167332271964,5.994067,1676.715724138213896791277178,76443.161477865572
136396259,3,-0.002987398467290661,5.024099,1676.721090435244678310507969,76443.161477865572
136396507,14,-0.477570520278056121,803.367565,1677.579287019437619150681265,76443.161477865572
136396519,56,-0.364580175592447868,613.572366,1678.234882961716901575386959,76443.161477865572
136396569,7,-0.033146693232107906,55.796314,1678.294507118811281826319397,76443.161477865572
136396617,7,-0.481746959567379014,811.155535,1679.161430685788248850370269,76443.161477865572
136398412,3,-0.00826793970783569,13.925043,1679.176315047628015889917858,76443.161477865572
136398734,42,-0.394653111762140127,664.826865,1679.887019719409275532992495,76443.161477865572
136398805,4,-0.053142243023999947,89.544141,1679.982754536163976264284563,76443.161477865572
136401113,3,-0.001007499083600062,1.697676,1679.984569607100547767544094,76443.161477865572
136401298,2,-0.059343894833069113,100,1680.091486436178505015124624,76443.161477865572
136401805,3,-0.130543276081065599,220,1680.326715435430539183220029,76443.161477865572
136401979,50,-0.356640835257898669,601.191327,1680.969606842517522370363006,76443.161477865572
136401988,59,-0.138105931746374683,232.867675,1681.218659818329655049917338,76443.161477865572
136401989,9,-0.274192457454339303,462.432581,1681.713288138939404060321626,76443.161477865572
136405108,6,-0.005928459007797933,10,1681.723985168168942303489366,76443.161477865572
136405254,2,-0.088922360190727507,150,1681.884444689094014208988951,76443.161477865572
136405381,12,-0.019660370068519518,33.166319,1681.919924732791198409825707,76443.161477865572
136405433,67,-0.001026767697625137,1.732139,1681.921777717710959281894722,76443.161477865572
136405500,4,-0.006282508380729236,10.59852,1681.93311568811112339410919,76443.161477865572
136405599,37,-0.104613623151936942,176.492471,1682.121927536870667020113789,76443.161477865572
136405717,77,-0.64527639546175825,1089.07672,1683.287257523178051903093683,76443.161477865572
136405720,67,-0.338237936873620016,571.168492,1683.89857850041823242358816,76443.161477865572
136406093,10,-0.37329188519215108,630.603471,1684.57364157877097980593966,76443.161477865572
136406100,77,-0.361041267741618116,610.148972,1685.226936825300538904246361,76443.161477865572
136406101,147,-0.007134280656455273,12.059106,1685.239849958479190497631541,76443.161477865572
136406114,86,-0.346392596774650718,585.620081,1685.867019119582205881002044,76268.63540850595
136406123,98,-0.361750310037128684,611.817162,1686.523851849145476084791884,76268.63540850595
136407494,6,-0.004912719777768583,8.310373,1686.532774552752018273769502,76268.63540850595
136407668,6,-0.235993698007254323,399.259468,1686.961480382908119760860355,76268.63540850595
136469048,28,0.0015,-2.52285,1686.961058198026891084214198,490875.55341286148
136469048,36,0.016895576658879524,-28.416633,1686.95630283762310816070735,490875.55341286148
136471843,69,2.371911013659312128,-3988.517106,1686.288913894216942366643744,490875.55341286148
136471903,52,1.967452775163887616,-3307.198038,1685.735672793935165291040197,491050.079482221102
136471904,66,1.963133481173123072,-3298.856311,1685.184069543815591782413775,491050.079482221102
136471905,55,3.427113422347567104,-5756.34674,1684.221764381047955685395778,491050.079482221102
136471905,153,3.291703067828813824,-5525.810471,1683.298257179641448805871721,491050.079482221102
136513179,5,1.860297258138861568,-3121.557102,1682.776681538071765457589607,491055.827853764262
136513419,3,0.012576542610543718,-21.1,1682.773156250121419949862937,491055.827853764262
136513655,23,0.012576568957503899,-21.1,1682.769630965863682108591736,491055.827853764262
136513857,17,0.003505163614472648,-5.880686,1682.768648450415560394590577,491055.827853764262
136513949,4,1.313213359320509,-2202.963821,1682.400608512460946864444663,491055.827853764262
136513953,2,0.849295647318363552,-1424.468198,1682.162650005736845282789636,491055.827853764262
136513958,6,0.0495,-83.016907,1682.148782486503857881379202,491055.827853764262
136513982,3,0.0119178,-19.98735,1682.145443717759591862477242,491055.827853764262
136514145,8,0.012044620008170108,-20.2,1682.142069430520689429168502,491055.827853764262
136514236,11,1.664131422953956422,-2790.520864,1681.675962405728967675208674,491055.827853764262
136514245,115,0.95928255408638886,-1608.234355,1681.407364713233567332519371,491055.827853764262
136514250,67,1.554165207850786,-2605.008212,1680.972337323245567202010713,491055.827853764262
136514254,3,0.9628789960766734,-1613.587904,1680.702901935611592305715028,491055.827853764262
136514278,4,0.0092,-15.416067,1680.700327879334426668946209,491055.827853764262
136514448,7,0.014790529544494137,-24.783842,1680.696189668314782186817851,491055.827853764262
136514551,3,0.011995327708393489,-20.1,1680.692833532136594811456017,491055.827853764262
136515091,3,0.002983916085631015,-5,1680.691998672911230620034519,491055.827853764262
136515200,4,0.012025196848040154,-20.15,1680.6886341923346189332458,491055.827853764262
136515232,2,0.895590292517701248,-1500.580939,1680.438089044112123151159106,491055.827853764262
136515561,9,1.3211524344146512,-2213.211166,1680.068593366851392744380554,491055.827853764262
136515580,5,0.01202965891304385,-20.15,1680.065229510312566448967834,491055.827853764262
136515821,4,0.001271622920492151,-2.13,1680.06487392666680429724484,491055.827853764262
136515910,3,0.010805820654600471,-18.1,1680.061852301899712550331744,491055.827853764262
136516135,10,1.883342609540186112,-3154.145322,1679.535338899518139570563092,491055.827853764262
136516189,6,0.9561813778276467,-1600.995216,1679.26812043867429454039381,491055.827853764262
136516190,35,0.012065257738689381,-20.2,1679.264749038544672415648664,491055.827853764262
136516191,88,0.7980878785929458,-1336.09152,1679.041761547256905350926094,491055.827853764262
136516545,29,0.9632031835525082,-1612.277397,1678.77269962462840443623873,491055.827853764262
136516599,4,0.881874822512949281,-1475.917699,1678.526412739250241613560549,491055.827853764262
136516693,3,0.006,-10.040939,1678.524737266075459218599037,491055.827853764262
136516766,55,0.7998969373625439,-1338.529794,1678.301392081045602168122411,491055.827853764262
136516880,10,0.005,-8.366328,1678.299996133980488176443175,491055.827853764262
136517163,3,0.0001,-0.167326,1678.299968215056950660158879,491055.827853764262
136518154,3,0.9581021774865851,-1603.031157,1678.032508375808409008992199,491055.827853764262
136518186,36,1.8649930140113253,-3119.646458,1677.512067963253636780430794,491055.827853764262
136518192,4,0.897282132420897152,-1500.574035,1677.261760857493731825462528,491055.827853764262
136518297,68,0.378214407768899583,-632.44158,1677.156270409821422177623378,491055.827853764262
136518309,70,1.3260390743916417,-2217.058377,1676.786494103717812158334761,491055.827853764262
136518337,50,0.961610814753842,-1607.450267,1676.518417942574340648674262,491055.827853764262
136529880,9,0.006105395656803297,-10.205095,1676.516716096565698482080096,491055.827853764262
136547436,6,0.001,-1.671487,1676.516437352222756221777832,491055.827853764262
136547513,4,0.005982700220438509,-10,1676.514769709832853924353483,491055.827853764262
136547669,57,2.1776245882981584,-3639.208519,1675.907934944250592205402417,491055.827853764262
136547674,40,0.973411825946961758,-1626.32322,1675.637767454692815111097763,494562.101080343696
136547676,41,2.4627507391792927,-4113.462142,1674.956899939573208904205806,494562.101080343696
136547677,3,0.711933656208703642,-1188.810987,1674.760151617520946750900906,494562.101080343696
136547760,24,1.3223802023357045,-2207.784799,1674.394793699763116028023642,494562.101080343696
136547780,9,1.5582894155930462,-2601.029763,1673.964410304958266167015332,494562.101080343696
136547816,47,1.0834121065061575,-1807.990966,1673.665280886632568826552882,494562.101080343696
136547864,6,0.006921790759670755,-11.55,1673.663370042220291586930835,494562.101080343696
136551227,3,0.001,-1.668642,1673.663093980344686115381108,494562.101080343696
136552658,10,0.001,-1.668641,1673.662817918537383046431272,494562.101080343696
136576517,42,-1.133733203010803451,1903.375202,1673.9767842496917679339245,494562.101080343696
136576585,3,-0.115661821715024721,194.199656,1674.008819606869862540739838,494562.101080343696
136576600,84,-0.909574030919826464,1527.331529,1674.260780332205759401204302,494562.101080343696
136576604,2,-1.548438412821758527,2600.623745,1674.689843483487056026496091,494562.101080343696
136576606,66,-2.037199998597625712,3422.520913,1675.254590875520305723821036,494562.101080343696
136576876,36,-1.192327836674888116,2003.660787,1675.585257496377686600876633,494562.101080343696
136576881,15,-2.420265864964875789,4068.382464,1676.260203207860596354702464,491055.827853764262
136576884,6,-0.999241018640699303,1680.168017,1676.539544930423923618886655,491055.827853764262
136576893,130,-1.251346131389758627,2104.463587,1676.889462105720585304159866,491055.827853764262
136576896,80,-0.948737756579943795,1595.841752,1677.154833133202406613353948,491055.827853764262
136576929,93,-1.693852438157903816,2849.803581,1677.628776522008194657687918,491055.827853764262
136576932,48,-2.200419942860509427,3703.27529,1678.24475859802640655348164,491055.827853764262
