blockNumber,logIndex,baseAmount,quoteAmount,price,liquidity
136268884,3,0.000743181916568534,-1.239252,1672.512234729290880963180287,71293.607470597565
136269282,3,0.000903509770549479,-1.506596,1672.510506262518559726779929,71293.607470597565
136272922,3,0.000483834786053523,-0.80679,1672.509580659516880438977937,71293.607470597565
136276076,3,0.000122794898421466,-0.204759,1672.509345746131781155611736,71293.607470597565
136281886,16,0.000179300080989399,-0.298981,1672.509002735317817835436543,71293.607470597565
136282729,3,0.001043912590970892,-1.740714,1672.507005763296347005798782,71296.730870018734
136283580,8,0.001002482920271207,-1.671628,1672.505088048301051040216079,71296.730870018734
136285149,14,0.001295872706305124,-2.16085,1672.502609093726374362349601,71296.730870018734
136286839,3,0.000160349829241024,-0.26738,1672.502302351062330738298899,71296.730870018734
136291372,4,0.000410703279540031,-0.684841,1672.501516692873728084645473,71296.730870018734
136292475,12,0.0012298922325,-2.050824,1672.499163963806746601668196,71296.730870018734
136294289,3,0.000864299651593888,-1.441203,1672.497510600035408125241964,71296.730870018734
136297489,3,0.001141865094130837,-1.904035,1672.49532627064696494431571,71296.730870018734
136302977,3,0.000765207082708686,-1.275965,1672.493862471120042294575627,71296.730870018734
136304036,11,0.006443939768831918,-10.745077,1672.481535641082339284260444,71296.730870018734
136306599,3,0.000987280351223472,-1.646253,1672.479647051190777060538293,71296.730870018734
136308114,3,0.001174505910671538,-1.958442,1672.477400317652211613150054,71296.730870018734
136319366,3,0.000998300194315543,-1.664624,1672.475490703574668437697442,71298.553187615396
136323705,10,0.000323576932152554,-0.53955,1672.474871745101378014806874,71298.553187615396
136332335,3,0.000748507936430389,-1.248104,1672.473439952975668765339653,71298.553187615396
136332582,3,0.000669701830464448,-1.116697,1672.47215890758622524576816,71298.553187615396
136333049,3,0.000977997264876217,-1.630765,1672.47028813904523416556686,71298.553187615396
136338950,33,-0.248653225198643476,417.17598,1672.947458995468903630473098,71298.553187615396
136339029,6,-0.08212928831723781,137.817912,1673.105111721235729390760541,71298.553187615396
136339163,18,-0.248349962119224008,416.825277,1673.581971879959300573194876,71298.553187615396
136339263,47,-0.577123531021540897,969.090752,1674.690902317785257715177501,71298.553187615396
136339295,14,-0.84490496505633491,1419.856128,1675.998671339727395522267913,172864.605033901708
136339302,2,-0.864529784759034312,1453.60832,1676.685182777340845968273649,172864.605033901708
136339310,46,-0.000113863948230588,0.191489,1676.685273222944878080285073,172864.605033901708
136339324,18,-0.005593133502854718,9.406156,1676.689716028343404774304426,172864.605033901708
136343726,5,0.000754353741447391,-1.261022,1676.689118617557472800773763,172864.605033901708
136350949,7,0.001169825357493769,-1.955548,1676.688192174496254032795941,172864.610075736538
136351490,15,0.001108903438453554,-1.853706,1676.687313979250924102660759,172864.610075736538
136353006,3,0.000317771961272932,-0.531205,1676.687062320112018747531441,172864.610075736538
136354290,29,0.000414713241961503,-0.693258,1676.686733888522694302038963,172864.610075736538
136354524,23,0.00064313363236829,-1.075098,1676.686224559905953596402711,172864.610075736538
136355435,11,0.001150481942787386,-1.923209,1676.685313438212581908708326,172864.610075736538
136361625,4,0.000380755615282459,-0.636492,1676.685011899787791545433075,172864.610075736538
136366582,3,0.000351586332850308,-0.58773,1676.684733461973019104710389,172864.610075736538
136369604,13,0.000990533451814616,-1.655829,1676.683949012144100517103268,172864.610075736538
136375026,3,0.000611151652236416,-1.021633,1676.683465012804003302431391,172864.610075736538
136377682,3,0.000472119226976565,-0.789219,1676.683091119833609038521196,172864.610075736538
136378871,3,0.001831500089149318,-3.061631,1676.681640671703850444580485,172864.610075736538
136379680,193,0.001311917951280987,-2.193069,1676.680601705431789328230144,172864.610075736538
136387821,3,0.001288672539181602,-2.154209,1676.679581149177349440834067,172864.610075736538
136393982,11,-0.871173697538805555,1465.376768,1677.371791708324350691642599,172864.610075736538
136396514,69,-0.884928817407590781,1489.133312,1678.075370668765730034971594,172864.610075736538
136396614,40,-0.912480031692348896,1536.149888,1678.801318396596478477767991,172864.610075736538
136396649,21,-0.479931199641688272,808.225472,1679.18332946900057418065645,172864.610075736538
136396702,5,-0.001057764523658946,1.781526,1679.184171562347740682695138,172864.610075736538
136396755,4,-0.006531137683662793,11,1679.189371058370560722808866,172864.610075736538
136396839,5,-0.032452309264874936,54.657966,1679.215206984683518952776411,172864.610075736538
136398618,9,0.0008730309717253,-1.461608,1679.214514024761413001138742,172864.610075736538
136398734,27,-0.663003409446078215,1116.850506,1679.74247440186093753731979,172864.610075736538
136401570,78,-0.6810309693654639,1147.584139,1680.285049700657233133751229,172864.610075736538
136401936,164,-0.336557113545146046,567.258799,1680.553280791897598410184406,172864.610075736538
136401987,13,-1.12947368000931217,1904.362345,1681.453924390606114628577495,172864.610075736538
136401992,72,-0.680343349330639324,1147.593425,1681.996780398231327270871515,172864.610075736538
136402194,4,-0.000087575076632799,0.147745,1681.996850292599698771504251,172864.610075736538
136402313,12,-0.130662310006973317,220.441733,1682.101137778726027623092265,172864.610075736538
136404734,27,-0.661412978306910075,1116.0864,1682.629190166823373579798985,172864.610075736538
136404769,24,-0.59292317604616653,1000.812672,1683.10277373240632411226557,172864.610075736538
136405720,80,-1.128115493967496679,1904.957682,1684.004381952136962331217756,172864.610075736538
136406087,28,-0.409733818382340355,692.137078,1684.332027227083514082350365,172864.610075736538
136406096,26,-0.679229288338311481,1147.675188,1684.875386308551370389491263,172864.610075736538
136406100,13,-0.679666395798551919,1148.78438,1685.419358285018827167701002,172864.610075736538
136406109,66,-0.725309387895811739,1226.357483,1686.198205183764562887977105,71615.572123275822
136407464,3,0.000560387543051782,-0.942089,1686.197124822794187556084095,71615.572123275822
136407598,9,-0.000852908758707013,1.442501,1686.198774078288034407573236,71615.572123275822
136407699,5,-0.108564254528837843,183.623179,1686.408722730745351532296045,71615.572123275822
136412483,23,-0.002924018752314262,4.945937,1686.414379791519402556582421,71592.02672606559
136419954,7,0.000462560587204554,-0.777728,1686.413487911314656586178251,71619.869864161838
136420002,7,0.000789601684205628,-1.327599,1686.411965452689550333550293,71619.869864161838
136422248,20,0.001014184598211547,-1.705201,1686.410009970917384942680334,71619.869864161838
136429230,3,-0.001702121181394515,2.879115,1686.413301762551127712141527,71619.869864161838
136441751,50,0.000641068758485892,-1.077863,1686.412065695502541309889974,71619.869864161838
136445400,53,0.000755347160756586,-1.270004,1686.410609286021802050317101,71619.869864161838
136446634,10,0.000824146762738135,-1.385679,1686.409020223938255376860261,71619.869864161838
136446929,8,0.00125026755920305,-2.102135,1686.406609549858844005800662,71619.869864161838
136447358,3,0.001132864483929587,-1.904737,1686.4044252482299882591237,71619.869864161838
136447661,12,0.001112724196110307,-1.870872,1686.402279783676798360709349,71619.869864161838
136456862,12,0.001232334761199466,-2.071976,1686.39990370051043551559707,71619.869864161838
136460309,3,0.000993375467298364,-1.670201,1686.397988362004023486190321,71619.869864161838
136462939,3,0.000350431283578606,-0.589193,1686.397312692249776100334218,71619.869864161838
136469059,4,0.000990066254400281,-1.664635,1686.395403738668293955685621,71619.869864161838
136471320,45,0.001695639685160097,-2.850937,1686.392134371612313110607241,71619.869864161838
136471907,100,1.124668657082937307,-1890.132489,1685.182688932043325268590243,172868.907816622554
136471973,31,1.202965014789787486,-2020.558696,1684.223186144746542245902406,172868.907816622554
136474771,33,0.000431165666636361,-0.724,1684.222842387522846368110184,172868.907816622554
136475053,3,0.000523864994102828,-0.879658,1684.222424723666841825452083,172868.907816622554
136481847,3,0.000887493274543837,-1.490251,1684.221717148520640104525896,172868.827459685715
136483067,4,0.000753218237989601,-1.26478,1684.221116627694508840789633,172868.827459685715
136488458,16,0.002898745882842735,-4.867479,1684.21880553785692743918451,172868.827459685715
136497303,4,0.001279944011609336,-2.149238,1684.217785075446991557006279,172868.827459685715
136499474,3,0.000924437614345331,-1.552283,1684.217048048601349471630696,172868.827459685715
136501173,24,0.730797239253381101,-1226.916484,1683.634556290258956344584618,172868.827459685715
136510620,10,0.018848270560974246,-31.638257,1683.619537020563854074640736,172868.827459685715
136511006,3,0.00135,-2.266066,1683.61846127896473051220995,172868.827459685715
136511862,3,0.001191492411089856,-2,1683.617511844301526333808677,172868.827459685715
136512374,3,0.00165,-2.769633,1683.616197051526013719625356,172868.827459685715
136512872,3,0.005987264212686424,-10.05,1683.61142614825876278614619,172868.827459685715
136513180,15,1.224207216567751751,-2054.310848,1682.636352305058775364347137,172868.827459685715
136513212,3,0.005,-8.387932,1682.632371571569429147007943,172868.827459685715
136513707,17,0.072,-120.784024,1682.575050575607602133578283,172868.827459685715
136514026,3,0.000874331689893728,-1.466714,1682.574354516340650188560065,172868.827459685715
136514078,4,0.001192231781362654,-2,1682.573405376122136052871337,172868.827459685715
136514143,12,0.344147552367987776,-577.269359,1682.299461782964073586448841,172868.827459685715
136514214,26,1.061730736850889739,-1780.343455,1681.454738962286148287154112,172868.827459685715
136514253,2,1.11353877563388372,-1866.256485,1680.569480561818133270143475,172868.827459685715
136514258,10,0.4481568,-750.819608,1680.213395180029641987413651,172868.827459685715
136515747,13,1.015477003615392463,-1700.691131,1679.406961128493006278898197,172868.827459685715
136515939,3,0.0017,-2.846425,1679.405611572056478092804164,172868.827459685715
136516090,3,0.0005,-0.837183,1679.40521464400237999891509,172868.827459685715
136516524,6,0.005,-8.371825,1679.401245371201048167195957,172868.827459685715
136516545,64,0.980600088842257677,-1641.500105,1678.623063442099376131599725,172868.827459685715
136516961,21,0.234550980423418807,-392.519762,1678.437009277688319346052137,172868.827459685715
136518186,6,1.195326243655060918,-1999.696183,1677.489314398833205011409213,172868.827459685715
136518190,16,0.728,-1217.339244,1676.912524724884429323651881,172868.827459685715
136518330,14,1.072091282527569243,-1791.956164,1676.063655236415084927511859,172868.827459685715
136529288,3,1E-8,-0.000016,1676.06365522850020682352545,172868.827459685715
136538615,3,-0.000594378892866442,0.999215,1676.064127087825976936886911,172868.827459685715
136539017,3,-0.000593660972767035,0.998009,1676.064598377415716530949041,172868.827459685715
136539468,3,-0.000594414356532577,0.999275,1676.065070265293327044499805,172868.827459685715
136540089,3,-0.000594270996687182,0.999035,1676.065542039561034901747723,172868.827459685715
136540765,3,-0.000592672443682255,0.996348,1676.066012544982910693606179,172868.827459685715
136540835,3,0.000741337308779874,-1.238802,1676.065425784455799511791383,172868.827459685715
136541010,3,-0.000594997572370627,1.000256,1676.065898135680986345177449,172868.827459685715
136541109,3,0.000515901196615557,-0.86209,1676.065489805427466177954267,172868.827459685715
136541151,3,0.001275669306927585,-2.13169,1676.064480127519366377615779,172868.827459685715
136541280,3,-0.000594061786836583,0.998683,1676.064951735452413465765474,172868.827459685715
136542089,4,-0.000594225097786065,0.998957,1676.065423473232284521553305,172868.827459685715
136542326,7,-0.000593937352346044,0.998474,1676.065894982778552329129895,172868.827459685715
136542735,4,-0.000594283830244755,0.999057,1676.066366767582662741699543,172868.827459685715
136543275,3,-0.000594061714774419,0.998684,1676.066838376254790952172219,172868.827459685715
136543467,5,-0.000594184454376852,0.99889,1676.067310082565505387881035,172868.827459685715
136543666,26,-0.000593165235285841,0.997177,1676.06778097994549773909017,172868.827459685715
136544050,3,-0.000594277195182108,0.999047,1676.068252760278528905792004,172868.827459685715
136544482,3,-0.000594390388411518,0.999237,1676.068724630671806429873706,172868.827459685715
136545906,3,-0.000593150415455607,0.997153,1676.069195516882864474452501,172868.827459685715
136546517,3,-0.000593150845445842,0.997154,1676.069666403633721470229797,172868.827459685715
136546731,6,-0.00059401579772947,0.998608,1676.070137977246170073672286,172868.827459685715
136547673,96,0.854483568826412897,-1427.459115,1674.850563574189835838018552,71302.775613399403
136547816,33,0.633709190289481273,-1057.800497,1673.636513401662931973054474,71302.775613399403
136548132,3,-0.000595108706070254,0.998993,1673.637656311048495276918445,71302.775613399403
136548342,3,-0.000594039371302439,0.997199,1673.638797167938607390781287,71302.775613399403
136549375,3,-0.000595275791536719,0.999275,1673.639940400552847386902175,71302.775613399403
136549960,6,-0.000594355832917804,0.997732,1673.641081867546795825979627,71302.775613399403
136551835,4,-0.000595545646088721,0.99973,1673.642225620761460535080485,71302.775613399403
136552412,10,-0.000594942960249908,0.998719,1673.643368217680746153726328,71302.775613399403
136553382,3,-0.000594348043124887,0.997721,1673.64450967322105315626329,71302.775613399403
136553812,3,-0.000594771263880808,0.998432,1673.645651942733019055243162,71302.775613399403
136556074,3,-0.000595906103451439,1.000338,1673.646796392898695583793573,71302.775613399403
136556504,3,-0.000594346228208975,0.99772,1673.64793784846053333213263,71302.775613399403
136556724,15,-0.000595136311145473,0.999047,1673.649080822564838195819957,71302.775613399403
136557358,3,-0.000595133514727396,0.999043,1673.650223792469391084717732,71302.775613399403
136558311,3,-0.000596030547292838,1.000549,1673.651368486322572498964392,71302.775613399403
136558974,3,-0.000594005227072483,0.99715,1673.652509291658260924556664,71302.775613399403
136559384,3,-0.000595229687314757,0.999206,1673.653652449777575979706633,71302.775613399403
136560188,3,-0.000595125914157673,0.999033,1673.654795409768056747489377,71302.775613399403
136561170,3,-0.000594006400783566,0.997154,1673.6559362208617273257562,71302.775613399403
136561553,3,-0.000594023920711013,0.997184,1673.657077066769527902181746,71302.775613399403
136562689,6,-0.000595130671353941,0.999043,1673.658220039404478131629673,71302.775613399403
136563477,10,-0.0005953119028448,0.999348,1673.659363361273242426654082,71302.775613399403
136563682,3,-0.000594513843364551,0.998009,1673.660505151603976274659172,71302.775613399403
136564600,7,-0.000594870738194796,0.998608,1673.661647628536603806506548,71302.775613399403
136564815,3,-0.000595348923154195,0.999412,1673.662791025016926868001259,71302.775613399403
136565424,3,-0.000595110714806589,0.999013,1673.66393396517756526226592,71302.775613399403
136565632,3,-0.000595122855720561,0.999034,1673.665076929826244362044344,71302.775613399403
136567978,3,0.000836734792736976,-1.396211,1673.663474758092829437839318,71302.775613399403
136571578,3,0.001329596468949684,-2.218619,1673.660928864294526711944587,71302.775613399403
136572676,3,0.000912113401296621,-1.521988,1673.659182364932284404482887,71302.775613399403
136575186,3,0.000934665733805568,-1.559618,1673.657392685579980014366661,71302.775613399403
136576604,58,-0.595239647368168573,999.566285,1674.801160250575633644337848,71302.775613399403
136576844,4,-0.71359119444813382,1199.186405,1675.93992984635921107331055,172868.827459685715
136576891,38,-0.683235119564921278,1148.692399,1676.482400910991373831543373,172868.827459685715
136576899,6,-1.162135301772572398,1954.699913,1677.40571155983884842975632,172868.827459685715
136576933,32,-1.081430926589191435,1819.923072,1678.265588304594640712064522,172868.827459685715
136576936,88,-1.139509933280409474,1918.672896,1679.172360936647618433483897,172868.827459685715
136576941,46,-0.721958318869974364,1216.148404,1679.747244440503765616396689,172868.827459685715
136576944,133,-0.748555042819508571,1261.390632,1680.343618274200657230095172,172868.827459685715
136576948,72,-0.588650755752519808,992.250381,1680.812819465272064711188286,172868.827459685715
136576949,26,-0.791105176985644042,1333.951101,1681.443702428953460166911238,172868.827459685715
136576949,31,-0.792774981066784775,1337.269027,1682.076273401592560619048616,172868.827459685715
136576950,72,-1.150063981267138474,1940.84585,1682.994567122437263146916031,172868.827459685715
136577141,3,0.001004080085915841,-1.684791,1682.993767470971340382688397,172868.827459685715
136577252,35,-0.679907417642241302,1147.908333,1683.537007759870859278834687,172868.827459685715
136577255,23,-0.679857027816646029,1148.193772,1684.080470823307182349846202,172868.827459685715
136577284,34,-1.128241843625985093,1906.277925,1684.98294394761447939115261,172868.827459685715
136577317,61,-1.414463838586609405,2391.379884,1686.476412922086323012997,71619.789507224999
136577328,214,-1.926569785177611323,3262.495232,1690.208675713514329902149916,71619.789507224999
136577330,186,-1.767808219984295603,3000,1693.644287281838805627084858,71619.789507224999
136577341,178,-2.355112216409170914,4006.166272,1698.272974863603921769480123,70503.104136413218
136577342,143,-1.890528082789318722,3223.856128,1702.03253012150555451138371,70503.104136413218
136577353,7,-0.42678753808289898,728.774054,1702.882978555410389788132694,70503.104136413218
136577364,120,-1.927932848156809935,3296.643548,1706.738060667351536438087473,69782.472540335
136577375,96,-1.209016115990267891,2071.165333,1709.1839258513993738929052,69782.472540335
136577380,6,-0.668432388137476274,1146.3656,1710.538436313042919229985921,69782.472540335
136577381,140,-2.006396412510782762,3446.443558,1714.613879478455229592673439,69782.472540335
136577385,86,-2.004418525112871988,3451.275128,1718.745639265701625716010025,68374.761149811934
136577387,207,0.026228402183838132,-44.943999,1718.691137791275012727051788,68374.761149811934
136577396,67,-2.886073598158103798,4983.916001,1724.722000576717606019552062,68374.761149811934
136577398,91,-3.802522891533560448,6593.287097,1732.738109549298944046137576,68126.231530652035
