blockNumber,logIndex,quoteIn,baseIn,quoteOut,baseOut,totalSupply,quoteReserve,baseReserve
18252461,272,0,0.00082,1.368233145492442981,0,58207.43189453317310211,3695665.368119984134075356,2208.216777204714097366
18252521,45,0,12.564292588098379952,20846.227083695329221668,0,58207.43189453317310211,3674819.141036288804853688,2220.781069792812477318
18252521,411,14696.801496543747277461,0,0,8.819816146748851366,58207.43189453317310211,3689515.942532832552131149,2211.961253646063625952
18252522,36,2856.988194117927457395,0,0,1.70638320925512507,58207.43189453317310211,3692372.930726950479588544,2210.254870436808500882
18252623,39,9.985042394167089861,0,0,0.005959100341952792,58207.43189453317310211,3692382.915769344646678405,2210.24891133646654809
18252699,115,241.568232020583965196,0,0,0.144158782148130648,58207.43189453317310211,3692624.484001365230643601,2210.104752554318417442
18252721,209,10.408125,0,0,0.006210751469343584,58207.43189453317310211,3692634.892126365230643601,2210.098541802849073858
18253122,104,44.168921,0,0,0.026356154102432088,58207.43189453317310211,3692679.061047365230643601,2210.07218564874664177
18253522,220,124.999999999999998788,0,0,0.074585672446423755,58207.43189453317310211,3692804.061047365230642389,2209.997599976300218015
18253530,161,0,0.0015081825,2.512541378087871563,0,58207.43189453317310211,3692801.548505987142770826,2209.999108158800218015
18253568,41,2583.92510947225494591,0,0,1.540665447343049681,58207.43189453317310211,3695385.473615459397716736,2208.458442711457168334
18253605,452,9.719543096237080835,0,0,0.005791210530780603,58207.43189453317310211,3695395.193158555634797571,2208.452651500926387731
18253644,64,50,0,0,0.02979109779514522,58207.43189453317310211,3695445.193158555634797571,2208.422860403131242511
18253774,49,2525.299962574150303744,0,0,1.503582901372743936,58207.43189453317310211,3697970.493121129785101315,2206.919277501758498575
18253846,121,109.232297388324188588,0,0,0.064991482441311631,58207.43189453317310211,3698079.725418518109289903,2206.854286019317186944
18253850,66,31.964078473023537301,0,0,0.019017393500980368,58207.43189453317310211,3698111.689496991132827204,2206.835268625816206576
18253930,112,502.190572133911757167,0,0,0.298740986937897334,58207.904116363741416665,3698618.857315915836833699,2206.539497793562866378
18254162,223,36.700901386428940288,0,0,0.02182929545100699,58207.915534844921697828,3698656.158217302265773987,2206.51802644894425116
18254210,109,7.603205274479153863,0,0,0.004522249344762466,58207.915534844921697828,3698663.76142257674492785,2206.513504199599488694
18254291,413,45.691328406982625446,0,0,0.027175987344916115,58207.915534844921697828,3698709.452750983727553296,2206.486328212254572579
18254619,113,0,0.098717121593950769,164.974661893416826028,0,58207.915534844921697828,3698544.478089090310727268,2206.585045333848523348
18254623,139,164.974661893416826028,0,0,0.098125733618378518,58207.915534844921697828,3698709.452750983727553296,2206.48691960023014483
18254636,123,70,0,0,0.041632850195290046,58207.915534844921697828,3698779.452750983727553296,2206.445286750034854784
18254742,106,750.704677008469192667,0,0,0.446386585587172755,58207.915534844921697828,3699530.157427992196745963,2205.998900164447682029
18254788,83,2505.764581364247564505,0,0,1.4886786826942885,58207.915534844921697828,3702035.922009356444310468,2204.510221481753393529
18254815,348,300,0,0,0.178095446069960251,58207.915534844921697828,3702335.922009356444310468,2204.332126035683433278
18254828,191,1.667674211933740893,0,0,0.000989936609986267,58207.915534844921697828,3702337.589683568378051361,2204.331136099073447011
18254899,86,2729.840474255670707333,0,0,1.619250745338362555,58207.915534844921697828,3705067.430157824048758694,2202.711885353735084456
18254984,115,4997.85388248320704512,0,0,2.958395116474404864,58207.915534844921697828,3710065.284040307255803814,2199.753490237260679592
18255112,145,0,0.0106144721777,17.84838840900693893,0,58207.915534844921697828,3710047.435651898248864884,2199.764104709438379592
18255325,147,0,0.005861378290205814,9.855918586044578664,0,58207.915534844921697828,3710037.57973331220428622,2199.769966087728585406
18255325,391,556.336753458602776197,0,0,0.32882660267371366,58207.915534844921697828,3710593.916486770807062417,2199.441139485054871746
18255654,317,0,0.153694105492145605,258.495625696726871505,0,58207.915534844921697828,3710335.420861074080190912,2199.594833590547017351
18256347,107,0,1.562346169538446853,2625.641733863599374912,0,58207.915534844921697828,3707709.779127210480816,2201.157179760085464204
18256404,149,135.190566253290288068,0,0,0.080014939503781645,58207.915534844921697828,3707844.969693463771104068,2201.077164820581682559
18256573,205,0,0.127142220490817352,213.523775005668948241,0,58207.915534844921697828,3707631.445918458102155827,2201.204307041072499911
18256621,448,119.726545,0,0,0.070865592644526527,58207.915534844921697828,3707751.172463458102155827,2201.133441448427973384
18256914,59,0,0.001486875,2.49708619739547018,0,58207.915534844921697828,3707748.675377260706685647,2201.134928323427973384
18257063,138,0,0.03,50.381852803446866249,0,58207.915534844921697828,3707698.293524457259819398,2201.164928323427973384
18257179,202,0,0.096321806066100342,161.753106821210167822,0,58207.915534844921697828,3707536.540417636049651576,2201.261250129494073726
18257183,81,0,0.107847096654855197,181.090744647775168812,0,58207.915534844921697828,3707355.449672988274482764,2201.369097226148928923
18257228,36,0,2.156756100062445056,3617.787977694545707008,0,58207.915534844921697828,3703737.661695293728775756,2203.525853326211373979
18257277,80,0,1.63639735327059847,2740.214511500815476426,0,58207.915534844921697828,3700997.44718379291329933,2205.162250679481972449
