blockNumber,logIndex,quoteIn,baseIn,quoteOut,baseOut,totalSupply,quoteReserve,baseReserve
18252145,202,13.018023,0,0,0.007756245860895535,89485.672188542107,6409349.837208,3830.226610385975401245
18252177,96,152,0,0,0.090560533015274135,89485.672188542107,6409501.837208,3830.13604985296012711
18252181,90,402.507376,0,0,0.239790368785573724,89485.672188542107,6409904.344584,3829.896259484174553386
18252280,41,198.25,0,0,0.11809470468052039,89485.672188542107,6410102.594584,3829.778164779494032996
18252301,301,50,0,0,0.029783135918329561,89485.672188542107,6410152.594584,3829.748381643575703435
18252389,128,0,0.067405,112.480639,0,89485.672188542107,6410040.113945,3829.815786643575703435
18252393,111,610,0,0,0.363329723266254076,89485.672188542107,6410650.113945,3829.452456920309449359
18252432,212,100.221918,0,0,0.059687818556510838,89485.672188542107,6410750.335863,3829.392769101752938521
18252495,145,0,0.048243463060503493,80.520623,0,89485.672188542107,6410669.81524,3829.441012564813442014
18252518,245,0,0.038220417083237216,63.790246,0,89485.672188542107,6410606.024994,3829.47923298189667923
18252562,124,0,0.001554110482851321,2.593798,0,89485.672188542107,6410603.431196,3829.480787092379530551
18252585,154,0,0.099715695986293881,166.420347,0,89485.672188542107,6410437.010849,3829.580502788365824432
18252605,256,50,0,0,0.029780045136652347,89485.672188542107,6410487.010849,3829.550722743229172085
18252620,250,23.974,0,0,0.014278771430742495,89485.672188542107,6410510.984849,3829.53644397179842959
18252704,255,74.34375,0,0,0.044278016597888994,89485.672188542107,6410585.328599,3829.492165955200540596
18252794,42,10,0,0,0.005955770894306396,89485.672188542107,6410595.328599,3829.4862101843062342
18252971,248,32,0,0,0.01905834228333184,89485.672188542107,6410627.328599,3829.46715184202290236
18253062,172,0,0.082247206241989215,137.267965,0,89485.672188542107,6410490.060634,3829.549399048264891575
18253071,125,99.38514,0,0,0.059192453846898889,89485.672188542107,6410589.445774,3829.490206594417992686
18253113,267,49.570437,0,0,0.029522800836359925,89485.672188542107,6410639.016211,3829.460683793581632761
18253164,96,131.241538,0,0,0.078161682223840389,89485.672188542107,6410770.257749,3829.382522111357792372
18253177,500,223,0,0,0.132801658048660318,89485.672188542107,6410993.257749,3829.249720453309132054
18253201,154,52.930439,0,0,0.031519944828255239,89485.672188542107,6411046.188188,3829.218200508480876815
18253206,6,0,2.100515697014754569,3504.309278,0,89485.672188542107,6407541.87891,3831.318716205495631384
18253251,84,38.202783,0,0,0.022774266908271604,89485.672188542107,6407580.081693,3831.29594193858735978
18253341,127,0,0.026287568071358798,43.831965,0,89485.672188542107,6407536.249728,3831.322229506658718578
18253405,65,4.965,0,0,0.002959863500430766,89485.672188542107,6407541.214728,3831.319269643158287812
18253413,86,2.999394,0,0,0.001788073676058598,89485.672188542107,6407544.214122,3831.317481569482229214
18253423,44,250,0,0,0.149030378027647949,89485.672188542107,6407794.214122,3831.168451191454581265
18253430,99,750,0,0,0.447021526178130451,89485.672188542107,6408544.214122,3830.721429665276450814
18253440,109,800,0,0,0.476707827560227253,89485.672188542107,6409344.214122,3830.244721837716223561
18253462,179,29.7375,0,0,0.01771783003241927,89485.672188542107,6409373.951622,3830.227004007683804291
18253587,228,9.077095,0,0,0.005408169924585143,89485.672188542107,6409383.028717,3830.221595837759219148
18253625,318,0,0.011783664561695484,19.65923,0,89485.672188542107,6409363.369487,3830.233379502320914632
18253643,199,800,0,0,0.47658618216190285,89485.672188542107,6410163.369487,3829.756793320159011782
18253663,77,19.757652,0,0,0.011768774801351891,89485.672188542107,6410183.127139,3829.745024545357659891
18253696,56,6758.433348,0,0,4.021465452339254209,89485.672188542107,6416941.560487,3825.723559093018405682
18253696,195,12,0,0,0.007132817229597748,89485.672188542107,6416953.560487,3825.716426275788807934
18253700,44,0,0.0059475,9.945922,0,89485.672188542107,6416943.614565,3825.722373775788807934
18253761,189,0,0.035481602398355877,59.334753,0,89485.672188542107,6416884.279812,3825.757855378187163811
18253770,147,0,0.01374359525384624,22.98268,0,89485.672188542107,6416861.297132,3825.771598973441010051
18253782,148,0,0.298013015269715617,498.310772,0,89485.672188542107,6416362.98636,3826.069611988710725668
18253782,168,0,0.298118596791965972,498.409771,0,89485.672188542107,6415864.576589,3826.36773058550269164
18253782,188,0,0.108305739083777111,181.051803,0,89485.672188542107,6415683.524786,3826.476036324586468751
18253881,18,0,0.76,1270.184166,0,89485.672188542107,6414413.34062,3827.236036324586468751
18253913,161,0,0.00746244191314862,12.46944,0,89485.672188542107,6414400.87118,3827.243498766499617371
18253917,401,258.275964,0,0,0.153635547194151514,89485.672188542107,6414659.147144,3827.089863219305465857
18253919,240,0,0.210809630214182007,352.262715,0,89485.672188542107,6414306.884429,3827.300672849519647864
18253938,58,494.932744,0,0,0.294408797936026652,89485.672188542107,6414801.817173,3827.006264051583621212
18253960,104,5.66255,0,0,0.003368082768353408,89485.672188542107,6414807.479723,3827.002895968815267804
18253981,73,20,0,0,0.011895945557474304,89485.672188542107,6414827.479723,3826.9910000232577935
18253994,129,448.532597,0,0,0.266766539268794186,89485.672188542107,6415276.01232,3826.724233483988999314
18253999,33,1.863175,0,0,0.001108052916350933,89485.672188542107,6415277.875495,3826.723125431072648381
18254007,171,51.451433,0,0,0.030598541719632904,89485.672188542107,6415329.326928,3826.692526889353015477
18254008,117,0,0.011916359075648001,19.917406,0,89485.672188542107,6415309.409522,3826.704443248428663478
18254071,242,173.892252,0,0,0.103412007070596625,89485.834540732502,6415484.001774,3826.601448788344389604
18254095,258,168.155,0,0,0.099994796302609892,89485.834540732502,6415652.156774,3826.501453992041779712
18254123,278,414.565081,0,0,0.246502297856659376,89485.834540732502,6416066.721855,3826.254951694185120336
18254144,192,39.813795,0,0,0.023671788966904728,89485.834540732502,6416106.53565,3826.231279905218215608
18254173,125,0,0.004763989007095367,7.964632,0,89485.834540732502,6416098.571018,3826.236043894225310975
18254191,155,564.189245,0,0,0.335415107392468738,89485.834540732502,6416662.760263,3825.900628786832842237
18254240,140,21,0,0,0.012483532809802881,89485.834540732502,6416683.760263,3825.888145254023039356
18254251,143,24,0,0,0.014266794746952184,89485.834540732502,6416707.760263,3825.873878459276087172
18254286,87,3.78965,0,0,0.002252746860731185,89485.834540732502,6416711.549913,3825.871625712415355987
18254308,230,6.118359,0,0,0.003637035817844077,89485.834540732502,6416717.668272,3825.86798867659751191
18254315,338,0,0.231534221866226628,387.139153,0,89485.834540732502,6416330.529119,3826.099522898463738538
18254316,35,146,0,0,0.086797595883353423,89485.834540732502,6416476.529119,3826.012725302580385115
18254317,163,2.294426,0,0,0.001364014097781867,89485.834540732502,6416478.823545,3826.011361288482603248
