blockNumber,logIndex,quoteIn,baseIn,quoteOut,baseOut,totalSupply,quoteReserve,baseReserve
18251965,0,0,0,0,0,50.9035254856093,319.43852917,5156.344660180736148602
18252530,146,0.00196539,0,0,0.031629758610877205,50.9035254856093,319.44049456,5156.313030422125271397
18253663,36,0.015114,0,0,0.243222302387490868,50.9035254856093,319.45560856,5156.069808119737780529
18254168,167,0.00360117,0,0,0.057948496461579228,50.9035913028545,319.45923474,5156.012263127683013733
18254306,74,0.00020003,0,0,0.003218759415467914,50.9035913028545,319.45943477,5156.009044368267545819
18254576,311,0.00308251,0,0,0.049601341918429457,50.9035913028545,319.46251728,5155.959443026349116362
18254643,602,0,0.119550473794923751,0.00738493,0,50.9035913028545,319.45513235,5156.078993500144040113
18254648,512,0.00738493,0,0,0.118834139135066196,50.9035913028545,319.46251728,5155.960159361008973917
18254824,395,0.00039489,0,0,0.006354193010221755,50.9035913028545,319.46291217,5155.953805167998752162
18254968,344,0.00028344,0,0,0.004560836302264075,50.9035913028545,319.46319561,5155.949244331696488087
18255357,221,0.00205508,0,0,0.033068074507564448,50.9035913028545,319.46525069,5155.916176257188923639
18256321,584,0.00372942,0,0,0.06000861755069297,50.9035913028545,319.46898011,5155.856167639638230669
18256497,276,0,0.000802399289702173,0.00004956,0,50.9035913028545,319.46893055,5155.856970038927932842
18256633,22,0,0.18203095891785709,0.01124483,0,50.9035913028545,319.45768572,5156.039000997845789932
18256658,229,0,0.183416864936909254,0.01132964,0,50.9035913028545,319.44635608,5156.222417862782699186
18257498,222,0,0.00289586065814804,0.00017887,0,50.9035913028545,319.44617721,5156.225313723440847226
18257903,306,0.10808,0,0,1.738714251605437839,50.9035913028545,319.55425721,5154.486599471835409387
18257941,179,0,2.721502424066799678,0.16812586,0,50.9035913028545,319.38613135,5157.208101895902209065
18258277,30,0,0.49999993936778858,0.03086914,0,50.9035913028545,319.35526221,5157.708101835269997645
18258425,152,0.00088,0,0,0.014169656441611377,50.9035913028545,319.35614221,5157.693932178828386268
