blockNumber,logIndex,quoteIn,baseIn,quoteOut,baseOut,totalSupply,quoteReserve,baseReserve
18252010,188,100,0,0,0.059741596268383366,71720.953362384098690824,5385283.57214162476706078,3226.875253741379139472
18252102,66,496.60950181408949266,0,0,0.296649660682917956,71720.953362384098690824,5385780.18164343885655344,3226.578604080696221516
18252341,309,110.16162570484601262,0,0,0.065797632000534306,71720.953362384098690824,5385890.34326914370256606,3226.51280644869568721
18252406,373,2769.001318586297494545,0,0,1.652995434055709003,71720.953362384098690824,5388659.344587730000060605,3224.859811014639978207
18252438,675,1328.41378500761035008,0,0,0.792413588381645187,71720.953362384098690824,5389987.758372737610410685,3224.06739742625833302
18252500,291,1230,0,0,0.733360990677776149,71720.953362384098690824,5391217.758372737610410685,3223.334036435580556871
18252692,387,8.274443166889583687,0,0,0.00493232529485647,71720.953362384098690824,5391226.032815904499994372,3223.329104110285700401
18252805,168,0,0.0115,19.176720779065612465,0,71720.953362384098690824,5391206.856095125434381907,3223.340604110285700401
18252809,241,81.949201174627973682,0,0,0.048848755571831127,71720.953362384098690824,5391288.805296300062355589,3223.291755354713869274
18252953,9,63.5,0,0,0.037850428805342347,71720.953362384098690824,5391352.305296300062355589,3223.253904925908526927
18252953,22,0,0.022752262833045504,37.94196924152676352,0,71720.953362384098690824,5391314.363327058535592069,3223.276657188741572431
18253338,87,105,0,0,0.062586253050114245,71720.953362384098690824,5391419.363327058535592069,3223.214070935691458186
18253599,182,2772.913561182008812315,0,0,1.651942350317378955,71720.953362384098690824,5394192.276888240544404384,3221.562128585374079231
18253612,298,1559.608020035369445988,0,0,0.928379484631369035,71720.953362384098690824,5395751.884908275913850372,3220.633749100742710196
18253703,103,0,0.001,1.670342976882631014,0,71720.953362384098690824,5395750.214565299031219358,3220.634749100742710196
18253768,147,0,0.037,61.80196307825939836,0,71720.953362384098690824,5395688.412602220771820998,3220.671749100742710196
18253781,100,1677.82661969110154528,0,0,0.998176220226832533,71720.953362384098690824,5397366.239221911873366278,3219.673572880515877663
18253783,20,135.523196362373413382,0,0,0.080598670347217903,71720.953362384098690824,5397501.76241827424677966,3219.59297421016865976
18253862,275,0,0.01,16.714201565780837134,0,71720.953362384098690824,5397485.048216708465942526,3219.60297421016865976
18253926,128,0,0.0099125,16.567849986467984789,0,71720.953362384098690824,5397468.480366721997957737,3219.61288671016865976
18254032,91,0,0.000059543125597292,0.099520657473330993,0,71720.953362384098690824,5397468.380846064524626744,3219.612946253294257052
18254115,86,0,0.02,33.427885512535864685,0,71720.953362384098690824,5397434.952960551988762059,3219.632946253294257052
18254115,91,0,0.000001197085030495,0.002000788637913592,0,71720.953362384098690824,5397434.950959763350848467,3219.632947450379287547
18254181,370,0,0.0495625,82.836692791974577792,0,71720.953362384098690824,5397352.114266971376270675,3219.682509950379287547
18254188,351,186.465179674567917627,0,0,0.110894559604075733,71720.953362384098690824,5397538.579446645944188302,3219.571615390775211814
18254204,96,0,0.00013,0.217288208088032943,0,71720.953362384098690824,5397538.362158437856155359,3219.571745390775211814
18254204,146,0,0.0001,0.167144763527407369,0,71720.953362384098690824,5397538.19501367432874799,3219.571845390775211814
18254228,9,0,0.00013,0.217288177089302029,0,71720.953362384098690824,5397537.977725497239445961,3219.571975390775211814
18254228,220,0,0.0001,0.167144739682232296,0,71720.953362384098690824,5397537.810580757557213665,3219.572075390775211814
18254232,221,97.741117145690683705,0,0,0.058125549919853691,71720.953362384098690824,5397635.55169790324789737,3219.513949840855358123
18254240,1387,0,0.00017,0.284156309228244444,0,71720.953362384098690824,5397635.267541594019652926,3219.514119840855358123
18254241,224,0,0.00018,0.300871353583789659,0,71720.953362384098690824,5397634.966670240435863267,3219.514299840855358123
18254251,236,0,0.058581177419141619,97.917096785826781269,0,71720.953362384098690824,5397537.049573454609081998,3219.572881018274499742
18254255,198,0,0.00013,0.217288061083199012,0,71720.953362384098690824,5397536.832285393525882986,3219.573011018274499742
18254255,203,0,0.00012,0.200573579293908447,0,71720.953362384098690824,5397536.631711814231974539,3219.573131018274499742
18254325,210,103.629764287957998108,0,0,0.061627429192470933,71720.953362384098690824,5397640.261476102189972647,3219.511503589082028809
18254338,218,0,0.00108,1.805230755556430899,0,71720.953362384098690824,5397638.456245346633541748,3219.512583589082028809
18254340,149,0,0.0010893,1.820774573187829964,0,71720.953362384098690824,5397636.635470773445711784,3219.513672889082028809
18254362,564,0,0.022,36.772931384602240152,0,71720.953362384098690824,5397599.862539388843471632,3219.535672889082028809
