blockNumber,logIndex,quoteAmount,baseAmount,price,liquidity
18253073,186,-180.022354934490047681,0.10794706406684724,1672.701730705297871948480649,985850.316865397371840856
18253574,20,7530.802392279057521633,-4.487836630649257922,1673.324755187580151631991789,985850.316865397371840856
18253581,47,7702.180529460787326493,-4.588237883512790561,1673.962077806533284136561572,985850.316865397371840856
18253604,168,6568.890272762308071934,-3.911749541019329998,1674.505721363371383252251144,985850.316865397371840856
18253774,17,13437.26344881865490432,-7.997884995521993723,1675.618068725404619066035749,985850.316865397371840856
18254624,8,8326.796031788370774207,-4.95346066203652059,1676.307538736422513040148868,985870.530889592480831469
18254733,122,10349.604247147620639185,-6.153953302120585895,1677.164697694806223181743734,985870.530889592480831469
18254786,23,16341.24947096033950446,-9.710229438191102021,1678.518533516751741262066337,985870.530889592480831469
18254788,75,8516.885908020438675279,-5.057763932532837831,1679.224354909238554782113835,985870.530889592480831469
18254880,182,1841,-1.093000828963411476,1679.376943929744337598786064,985870.530889592480831469
18254891,45,10453.156079925528086151,-6.204151461788696399,1680.243472344346920565093175,985870.530889592480831469
18254899,24,20356.513930686999350073,-12.072807955836868184,1681.931594757034025097885358,985866.919936405603019149
18254957,198,1321.296914879059505757,-0.783200760810365704,1682.041196767305680671478841,985866.919936405603019149
18254978,50,12365.442138610102844552,-7.327161769748557908,1683.067087314519121095790798,985866.919936405603019149
18254984,45,42570.846374864562946048,-25.19129587310606133,1686.601340606008366171475522,985866.919936405603019149
18255338,145,-772.181435738966630929,0.459219202271643395,1686.537007704848751944725728,985866.919936405603019149
18256344,27,-34055.391186052869757947,20.27030567749650268,1683.700956911106164632233672,985864.233769554089363194
18257205,39,-9100.006682776559609414,5.42224704964042401,1682.943534480182555942723066,985864.374398559066614315
18257222,40,-10654.57078433693484915,6.351637176227432974,1682.056937301956316898078352,985864.374398559066614315
18257228,50,-13845.004582513534563122,8.258591560736196608,1680.905207365303275043797726,985867.985351745944426635
18257251,182,-7077.501352624557874981,4.223938947760428749,1680.316601236537444290419683,985867.985351745944426635
18257268,50,-10890.209811763928040817,6.502300237004597248,1679.411109444740629850870297,985867.985351745944426635
18257277,66,-11878.72827856205603464,7.096520748238568041,1678.423703264424829483448956,985867.985351745944426635
18257311,61,-8507.009484323306175625,5.084773789860459052,1677.716745917440719775090956,985867.985351745944426635
18257312,339,-10526.809810343332914437,6.295006868762894464,1676.842143412065026882505292,985867.985351745944426635
18257949,22,-23836.655471362126090955,14.266402871634454528,1674.862557252603236510072233,985867.985351745944426635
18257951,88,-19226.269240202452579167,11.519342461450441207,1673.266706216558429756321876,985867.985351745944426635
18258110,115,-250.235483173292530282,0.15,1673.245940765855135275800341,985867.985351745944426635
