blockNumber,logIndex,quoteAmount,baseAmount,price,liquidity
18252033,21,-91.425892,0.054797390142443951,1673.45463712404858315766822,4195771.330323693184
18252254,78,842.452431,-0.501908414003045867,1673.471015351502373696991156,4195770.045300909426
18252278,13,-14.99,0.008984384247526554,1673.470723051358698752665543,4195770.045300909426
18252500,24,2499.931334,-1.489357006428331765,1673.5193250096482363665336,4195770.045300909426
18252758,43,-14.99,0.008984124894351413,1673.51903270528554041885464,4195770.045300909426
18253383,54,-16.156452,0.009683229615430374,1673.5187176875903103202887,4196201.715953747966
18253581,35,20566.144064,-12.250832051562368292,1673.918532444339809683855344,4196241.088019443684
18253599,188,19172.323653,-11.417926469837667596,1674.291293736644858462527278,4196241.088019443684
18253605,14,20791.463481,-12.379319482606528111,1674.695582346527983792561524,4196241.088019443684
18253605,221,5000,-2.976573978943115727,1674.792814290186853417623001,4196241.088019443684
18253625,206,-80.19,0.048024645647831768,1674.791250169643001435287924,4196241.088019443684
18253679,129,5000,-2.976403952845865442,1674.888484890433617580032155,4196241.088019443684
18253769,431,929.836194,-0.553494569349098211,1674.906567674223003602099466,4196241.088019443684
18253792,102,6716.113943,-3.997658533407446604,1675.037180714009039228048533,4196241.088019443684
18253808,194,16100,-9.581996181968996133,1675.350309589970792681007477,4196241.088019443684
18253843,178,1000,-0.595095967101525459,1675.369759553784973250018108,4196241.088019443684
18253848,165,-121.22666,0.072575931031923327,1675.367394598758338168401813,4196241.088019443684
18253864,14,398.722665,-0.237276658375081544,1675.375149766173481799927054,4196241.088019443684
18253889,44,12.324903,-0.007334432845959622,1675.375389486163549191051557,4196241.088019443684
18253898,94,106.834301,-0.063576039504375502,1675.377467419616743178734271,4196241.088019443684
18253902,156,100,-0.059508942949385273,1675.379412426681915694069694,4196241.088019443684
18254066,102,835.088939,-0.496949902785802688,1675.395655009623741887766469,4196241.088019443684
18254622,96,30614.084481,-18.214690955793403274,1675.992729555744569954268384,4165836.812029003997
18254624,11,14842.632978,-8.828690544557528805,1676.283592740939905420896336,4165836.812029003997
18254732,373,10461.4831,-6.221775903673519297,1676.48861602432753448019522,4165836.812029003997
18254733,6,57488.590611,-34.176713752026011986,1677.615496431123325544991586,4165836.812029003997
18254786,17,42888.087682,-25.48182859850981845,1678.456427138132414984121185,4165836.812029003997
18254788,27,34611.36364,-20.554929740119864793,1679.135225130272056206337843,4165836.812029003997
18254822,30,20770.865855,-12.331372155484736795,1679.542649197149378797254954,4165836.812029003997
18254891,39,32594.140635,-19.344655493675684551,1680.182088438105687907489288,4165836.812029003997
18254899,5,83313.794483,-49.413374606939474493,1681.817110463354395084997077,4165836.812029003997
18254920,46,12575.495072,-7.454347114332252289,1682.06397193352720142739444,4165836.812029003997
18254922,55,878.36,-0.520622548264911661,1682.081215131642681600515637,4165836.812029003997
18254970,76,800,-0.474172275036834524,1682.09692011142733278366938,4165836.812029003997
18254973,182,18505.646902,-10.967345329803649459,1682.460229087785781343511911,4165836.812029003997
18254973,395,5003.644069,-2.964995790918920564,1682.558469019610808896518337,4165836.812029003997
18254975,123,120,-0.071105948730693831,1682.560825096076094013521712,4165836.812029003997
18254978,53,24016.74812,-14.229109991222651705,1683.032402424325826210732568,4165836.812029003997
18254983,8,26186.707968,-15.510194557369445195,1683.546662981217580988596068,4165836.812029003997
18254984,14,155613.70986,-92.071217272261540092,1686.602794424066138383409846,4174061.938947757974
18254997,15,7997.617702,-4.727404698134176592,1686.759701819420504670519143,4174061.938947757974
18255082,69,-4.99,0.002967236640419876,1686.759603622412782930051,4174061.938947757974
18255397,192,-94.488581,0.056186401270560242,1686.757744204932628565986038,4174061.938947757974
18255455,290,13.07,-0.007725347077412244,1686.75800063457410699681015,4174061.938947757974
18255471,269,-8.408488,0.005,1686.757835166045423231678881,4174061.938947757974
18255508,30,670,-0.396018552990020096,1686.770980398840041460310555,4174061.938947757974
18255604,168,1000,-0.591066726475297095,1686.7906002445569753308363,4174061.938947757974
18255639,9,400,-0.236424765596866634,1686.798448214792991331622808,4174061.938947757974
18255669,19,-433.501136,0.257770365868777782,1686.789917363047818409217294,4174061.938947757974
18255669,44,62.849106,-0.037147800358333351,1686.791150456358999152379001,4174061.938947757974
18255676,98,12.322013,-0.007283086063327287,1686.791392213085159404834798,4174061.938947757974
18256026,219,-1107.031949,0.658273580028041411,1686.769607160197156285787507,4174080.473570994475
18256147,13,1000,-0.591067207690427077,1686.789226910807278875405769,4174080.473570994475
18256344,11,-109688.193514,65.265256827762721392,1684.628955066752797387618029,4165855.346652240498
18256487,44,366.3,-0.216783831762777814,1684.636151386990764431327925,4165855.346652240498
18256939,26,3000,-1.775426508260015766,1684.695089914462804958964656,4165853.413658850577
18256944,17,3750,-2.219195790433683296,1684.768764523633880518528196,4165853.413658850577
18256951,78,-36074.691061,21.48121265783748241,1684.057955441244629193386706,4165853.413658850577
18256963,21,2500,-1.480034373064822437,1684.107062379928927992470592,4165853.413658850577
18256967,86,-402.972188,0.24,1684.099123021267684487075258,4165853.413658850577
18256970,12,2500,-1.479998194084321142,1684.148230560164918229190559,4165853.413658850577
18256976,19,6000,-3.551819599122615417,1684.26609157465930715696946,4165853.413658850577
18256993,32,3000,-1.775816594040634073,1684.325023628392928180877711,4165853.413658850577
18257062,23,2000,-1.183843211011547256,1684.364312236988092774601287,4165853.413658850577
18257107,200,-33.287552,0.01982215,1684.363656354402942605960376,4165850.998849555108
18257140,48,-24795.830497,14.767624084696466822,1683.875126218380146919003665,4165850.998849555108
18257144,115,-18656.27119,11.113918446752800611,1683.507605056249701722966206,4165850.998849555108
18257144,318,-209.134724,0.124599539820961456,1683.503485412260779840964489,4165850.998849555108
18257205,24,-25819.305566,15.385123482510423738,1682.994922098499476717043146,4165850.998849555108
18257220,247,-21815.899491,13.003210774937930559,1682.565273825935692534021988,4165850.998849555108
18257222,37,-23777.604462,14.176252965506994281,1682.09705366968069023684125,4165850.998849555108
18257223,31,-41400.517019,24.69248531754741901,1681.28196485706168352383232,4165850.998849555108
18257228,20,-45523.098377,27.165134414927187968,1680.38593913172142735094354,4165850.998849555108
18257255,273,-8094.251062,4.83162321523461863,1680.226645959522622378455292,4165850.998849555108
18257265,76,-3243.896011,1.936476129641227821,1680.16280888213847930788424,4165850.998849555108
18257267,202,-149.360363,0.089163933040277731,1680.15986962812669376728803,4165850.998849555108
18257268,53,-17725.16799,10.582534128129399374,1679.811075322767014516637606,4165850.998849555108
18257269,54,-18730.033221,11.184861058927134892,1679.442546712379788989275417,4165850.998849555108
18257270,68,-15887.319443,9.489224811225103389,1679.129982494628411654174188,4165850.998849555108
18257272,266,-22931.987488,13.7,1678.678874061702063999973883,4165850.998849555108
18257286,27,-19857.04332,11.865944933286299286,1678.288303599632097811018066,4165850.998849555108
18257295,35,-195643.044975,117.057812337439700945,1674.452264740740243221438424,4196255.274839994795
18257385,245,-686.216003,0.4110499962089931,1674.438881402450518091255621,4196255.274839994795
18257512,225,1750,-1.041980266431506999,1674.472909538375018247959765,4196255.274839994795
18257515,24,3000,-1.786202622074705048,1674.53124429009142161941844,4196255.274839994795
18257520,263,-9.99,0.005983800420358368,1674.531049449159243651827141,4196255.274839994795
18257915,268,444.152695,-0.264443644243497226,1674.539686047370035062123944,4196255.274839994795
18257950,201,-11380.455663,6.817071233163496222,1674.317733017827018375339258,4196255.274839994795
18257951,81,-50441.517454,30.226141373189782158,1673.334149186144437179669826,4196255.274839994795
18257999,140,-7,0.004195852621128242,1673.334012709774084949279994,4196255.274839994795
18258176,287,1,-0.000595816487704502,1673.334032147908208083065687,4196255.274839994795
18258530,97,17915.014228,-10.67295022835165458,1673.682284715901911323298659,4196255.274839994795
18258530,325,3569.976951,-2.126564438034172429,1673.751686347031517946304301,4196255.274839994795
18258560,151,100,-0.059566746317699374,1673.753630403580965526735057,4196255.274839994795
18258596,36,18768.523885,-11.178574077669024558,1674.118521112397074307178036,4196255.274839994795
18258598,8,51250,-30.512205436675415822,1675.115107251295358791673427,4196255.274839994795
18258602,51,18515.952431,-11.019195306683717538,1675.475233666354133595528443,4196255.274839994795
18258604,9,56356.673504,-33.524314496304465367,1676.577391514931844091552081,4165850.998849555108
18258605,43,163656.335012,-97.227505536823728658,1679.786421021067639761659728,4165850.998849555108
18258606,99,60256.818941,-35.751519821421232151,1680.968730181174572805547529,4165850.998849555108
18258607,85,11186.32448,-6.634291942185863621,1681.188264706960130903925151,4165850.998849555108
18258608,51,27300.593149,-16.18757119585340748,1681.724106126460113073477362,4165850.998849555108
18258611,312,45976.5625,-27.249616386576337176,1682.62670243830253624730166,4165850.998849555108
18258612,120,57560.183706,-34.094453086865843664,1683.757045830281792300764168,4165850.998849555108
18258612,281,28713.938475,-16.999485259832237328,1684.321060324654712176693281,4165850.998849555108
18258613,8,148882.989124,-88.051879564733084474,1687.244280343468877871680257,4174076.125768309085
18258614,5,1295893.249018,-760.097543938907515365,1712.291595217224222543209983,4264579.307433505943
18258615,278,-1732.966696,1.015129849599999981,1712.257964916797134418642225,4264579.307433505943
18258615,288,-3089.633399,1.80988175368530816,1712.198007688611973349539813,4264579.307433505943
18258616,126,-14515.703176,8.50402757,1711.916330932718374148244105,4264579.307433505943
18258616,453,-2322.430817,1.360726393599999981,1711.871266387208254614011294,4264579.307433505943
18258618,8,180193.655053,-104.838690382290256724,1715.359013937595669418455667,4264579.307433505943
18258621,367,-6423.884799,3.756327021757529167,1715.233908308291898381542554,4253245.817951327594
18258625,5,272136.572467,-157.940629902977842642,1720.487576797739281726398598,4287364.388499278431
18258625,82,-249,0.145162104513368587,1720.482758824173008877516352,4287364.388499278431
18258649,56,25491.409228,-14.7698680790135808,1720.9745546035377806105026,4287364.388499278431
18258651,32,20000,-11.585159529227427316,1721.360455974771737349568228,4287364.388499278431
18258654,19,25880.335481,-14.98753620447197682,1721.859883032760499874889017,4287364.388499278431
18258657,18,100000,-57.870073750718350857,1723.790318712552325485771426,4287364.388499278431
18258658,24,4000,-2.313454607664421259,1723.867558635617157822373685,4287364.388499278431
