blockNumber,logIndex,baseAmount,quoteAmount,price,liquidity
18251985,235,-0.153930329503375179,258.257424,1672.725227786381743296397503,3278190.54018025185
18251993,426,0.084221088679281049,-140.455956,1672.721723109044965875343092,3278190.54018025185
18252018,202,0.07,-116.739147,1672.718810219749600310091231,3278190.54018025185
18252027,210,0.22,-366.893139,1672.709655474355909136406199,3278190.54018025185
18252056,163,1,-1667.670783,1672.66804394248677757163706,3278190.54018025185
18252080,108,1.205679033317111,-2010.620535,1672.617875855564749292806441,3278190.54018025185
18252253,285,-0.773362607316419638,1297.444937,1672.650151904028182288678525,3278190.54018025185
18252269,113,0.143883053777692508,-239.943584,1672.644164933592171182322486,3278190.54018025185
18252275,17,0.057,-95.054627,1672.641793173840979286534633,3278190.54018025185
18252363,679,-0.401918571461479461,674.292048,1672.65856736390409567821017,3278190.54018025185
18252459,194,-0.138639402820341235,232.59457,1672.664353578783018930010437,3278190.54018025185
18252535,175,0.08,-133.411576,1672.661024734328485454500785,3278190.54018025185
18252642,51,-0.334842317730688684,561.76533,1672.67499970064404241525809,3278190.54018025185
18252718,282,0.006503946656748561,-10.846351,1672.674729064854641786449875,3278190.54018025185
18253067,220,0.043561446724530389,-72.645499,1672.672916539428358649629533,3278387.095133548823
18253089,303,0.339063801400822594,-565.439024,1672.658808711971433359343672,3278387.095133548823
18253123,195,0.117985897777299712,-196.757812,1672.653899575437104149714552,3278387.095133548823
18253133,188,-0.077171698079927056,129.470077,1672.6571201812977140639751,3278387.095133548823
18253228,203,-1.733201998692897583,2907.838865,1672.729454336928446023193881,3278387.095133548823
18253408,196,-0.616153311683236497,1033.767007,1672.75513687544101121548984,3282648.577857969842
18253424,469,-0.094123763777630625,157.919954,1672.759060199767639470650137,3282648.577857969842
18253475,82,0.022,-36.690287,1672.758145932122294497243232,3282648.577857969842
18253478,34,-0.22325381175181746,374.574395,1672.767451781705306753524423,3282648.577857969842
18253527,24,-4.963872176185445252,8328.904091,1672.974380057064907346050526,3282648.577857969842
18253545,352,-0.062287478737114539,104.518994,1672.976976870781406377365916,3282648.577857969842
18253551,490,-0.30668017224241174,514.614673,1672.989762695251811548471385,3282648.577857969842
18253575,134,0.013,-21.683616,1672.989222334329614600916306,3282648.577857969842
18253578,115,-9.399698883411734009,15774.761228,1673.381176751061781566644632,3282648.577857969842
18253581,27,-11.464521653160709524,19244.990915,1673.859417897010086134560734,3282648.577857969842
18253599,185,-9.120343120838543498,15313.84928,1674.2400183542338737752807,3282648.577857969842
18253601,106,0.039600066209088908,-66.101083,1674.238370484296028317064328,3282648.577857969842
18253605,20,-9.751848437116623628,16378.037803,1674.645467270800827259871808,3282648.577857969842
18253670,355,-1.579971683672671592,2653.906253,1674.711438117161077089833928,3282648.577857969842
18253679,242,-1.133123739362244637,1903.392271,1674.758753474469758517113696,3282648.577857969842
18253762,185,-0.388317309179928894,652.297855,1674.774968733528281617734112,3282648.577857969842
18253764,8,-1.621729381331705249,2724.259466,1674.842691057241827658653815,3282648.577857969842
18253774,62,-0.239255181328016995,401.921753,1674.852682539738728548529359,3282648.577857969842
18253781,75,0.05,-83.491354,1674.850600757585121044184336,3282648.577857969842
18253783,98,-0.148818967760730055,250,1674.856815586965070956289415,3282648.577857969842
18253784,374,0.178170650819612005,-297.514439,1674.849397327609740466936615,3282648.577857969842
18253789,9,-2.083416795041384805,3500,1674.936405956954011825045972,3282648.577857969842
18253790,69,-0.015388977135506819,25.853123,1674.937048663860067907896883,3282648.577857969842
18253791,12,-0.291624652084502907,489.924484,1674.949228177309624125892252,3282648.577857969842
18253793,297,-2.849596956295018166,4787.462184,1675.068246727793257885840256,3282648.577857969842
18253795,170,-0.595195212732617373,1000,1675.093107729670364278746324,3282648.577857969842
18253807,31,-10.738986285618228592,18045.346852,1675.541764834276245115032807,3282648.577857969842
18253829,20,-0.388220777115079841,652.440597,1675.557987432718182003375792,3282648.577857969842
18253836,79,0.0054,-9.020868,1675.557762458023220102986846,3282648.577857969842
18253862,238,0.005,-8.352654,1675.557554148160877935361863,3282648.577857969842
18253887,185,0.157,-262.272836,1675.551013238243703323748353,3282648.577857969842
18253914,118,0.16,-267.283365,1675.544347382192253418630262,3282648.577857969842
18254036,18,-0.4,672.237796,1675.561062241858651860929571,3282648.577857969842
18254171,16,-2.082531912109606089,3500,1675.648089354538913850501557,3282648.577857969842
18254179,234,-0.493424350780331823,829.298554,1675.668710102487688997215043,3282648.577857969842
18254182,224,-0.36204910930490096,608.502611,1675.683840776281415092409149,3282648.577857969842
18254182,280,0.2036671325551606,-340.257016,1675.67535467552707560904536,3282648.577857969842
18254190,48,-1.05365577369987563,1770.920974,1675.719389648867294898238468,3282648.577857969842
18254230,502,0.1101691,-184.058407,1675.714799131724746300467853,3282648.577857969842
18254315,198,0.05279,-88.195543,1675.712599488962049672721151,3282648.577857969842
18254339,140,0.07,-116.94788,1675.709682750170703660510928,3282648.577857969842
18254453,48,0.605,-1010.755342,1675.68447411080736539500892,3282648.577857969842
18254456,235,-0.0973329803770548,163.590334,1675.688541865781412589076545,3282648.577857969842
18254468,198,0.057978913389525,-96.863067,1675.686126069468235146742413,3282648.577857969842
18254571,65,1E-7,-0.000167,1675.686126065301558746912715,3282648.577857969842
18254624,5,-11.593295278860567753,19488.048765,1676.181668686344834715194368,3194290.862036273911
18254624,182,-0.594799727233118449,1000,1676.207225864107421353134688,3194290.862036273911
18254634,230,0.45,-752.026047,1676.187948350187962487042642,3194290.862036273911
18254678,354,-0.460435133286676431,774.102685,1676.20773225011451684795117,3194290.862036273911
18254732,645,-10.843634955821940299,18233.411541,1676.673761024225457651920373,3194290.862036273911
18254733,134,-9.85379367812625212,16573.404703,1677.097417789287589019079411,3194290.862036273911
18254749,458,-0.898836662431269572,1511.989987,1677.13607061579062196656544,3194290.862036273911
18254786,8,-29.155395380505055446,49063.038657,1678.390570071547886820242509,3194290.862036273911
18254788,46,-16.71920653784965897,28151.832608,1679.110599840657586982537548,3194290.862036273911
18254822,33,-9.126578120203589977,15372.445767,1679.503840794919843881798634,3194290.862036273911
18254891,42,-14.871506464226358498,25056.688685,1680.144912058247031653431505,3194290.862036273911
18254899,8,-38.122857215982371002,64276.102278,1681.789964948301924582222857,3194290.862036273911
18254905,15,0.75,-1257.546373,1681.757675298144676961715078,3194290.862036273911
18254907,321,-9.206152063280287589,15530.939827,1682.155283933872888708471068,3194290.862036273911
18254925,68,-0.057985207614936725,97.833698,1682.157788729891208180407454,3194290.862036273911
18254934,167,-1.410609311337578407,2380.05057,1682.218724762930076705261803,3194290.862036273911
18254978,21,-17.301957141608715275,29199.743005,1682.966410686541531896695103,3194290.862036273911
18254978,82,-5.93289674320850494,10015.67382,1683.222909368651763555830694,3194290.862036273911
18254984,11,-78.724422852269448121,133044.004152,1686.631895753318408794616635,3194657.345170905389
18255135,251,0.013683109606970459,-23.009129,1686.631304169854606943414428,3194657.345170905389
18255138,15,-0.086746290360153589,146.749421,1686.635065899550733081694211,3194657.345170905389
18255236,94,0.00994009024888488,-16.715006,1686.634636142705180907941896,3194657.345170905389
18255254,157,-0.316016239812587507,534.609931,1686.64834020367556092817397,3194657.345170905389
18255280,60,-0.009777112118890997,16.540173,1686.648764191323848375462025,3194657.345170905389
18255365,137,0.49,-823.973345,1686.62757912449562428511442,3194657.345170905389
18255369,146,0.174020339371967633,-292.626328,1686.620055480708092107175903,3194657.345170905389
18255391,407,-0.062927435729738854,106.454124,1686.622784283586918575985606,3194657.345170905389
18255406,204,-0.168754325617837866,285.481954,1686.630102225936124723278035,3194657.345170905389
18255410,184,0.042,-70.62591,1686.628286377562828095044399,3194657.345170905389
18255506,26,-3.423160108301296933,5790.981271,1686.63393002117050396185445,84028727.513460875103
18255522,115,1.05,-1765.628968,1686.588534537022385428926015,3194657.345170905389
18255528,69,0.05,-84.076384,1686.586372893015275879713588,3194657.345170905389
18255676,214,0.846031255826190738,-1422.608646,1686.549797155198394342210183,3194657.345170905389
18255752,51,0.7877789905603003,-1324.629237,1686.515740856915954801780156,3194657.345170905389
18255877,346,-0.136856245896456132,231.505135,1686.521674987237170088668185,3194657.345170905389
18255896,158,0.237,-398.505309,1686.511429440737625310940359,3194657.345170905389
18255929,152,0.91146366598684969,-1532.564405,1686.472027596033475871220851,3194657.345170905389
18255939,114,0.484957963291523576,-815.409367,1686.451063814250895516990168,3194657.345170905389
18255940,284,0.07020444044168264,-118.041058,1686.448029046345918316169063,3194657.345170905389
18255947,394,0.033594701757846489,-56.485727,1686.446576831662778001871523,3194657.345170905389
18255986,234,-0.017239514109999819,29.16101,1686.447324294767388758690803,3194657.345170905389
18256043,236,-0.058881169550492672,99.598863,1686.449877241800178538607151,3194657.345170905389
18256105,277,0.11619145596887545,-195.362922,1686.444854576348939916582111,3194657.345170905389
18256175,103,-1.318682863921179792,2230.615476,1686.502030782511316823315698,3194657.345170905389
18256212,236,-0.029348052017468972,49.644502,1686.503303305219831143945827,3194657.345170905389
18256296,252,-0.090382109895592044,152.88857,1686.507222255368436180578017,3194657.345170905389
18256319,170,-0.455446410034337672,770.429446,1686.526970528163412984755618,3194657.345170905389
18256330,377,0.033788591413837764,-56.81439,1686.525509829566835054578731,3194657.345170905389
18256344,8,65.471558229103785954,-109995.889681,1683.698452509174374232833718,3194290.862036273911
18256406,199,-0.210860027122270728,356.093945,1683.707573626208582333965283,3194290.862036273911
18256423,97,0.8,-1342.911401,1683.673072441711135355145907,3194290.862036273911
18256452,521,0.111,-186.326783,1683.668285486139084954272621,3194290.862036273911
18256493,186,-0.019096236705451885,32.248482,1683.669111501802396792092187,3194290.862036273911
18256498,345,-1.091404071592190894,1843.118442,1683.71632164915487944030252,3194290.862036273911
18256607,187,3.876599999999999999,-6507.190336,1683.549146112128997226335261,3194290.862036273911
18256617,329,-0.252592264511604066,426.532469,1683.560070985073989058501917,3194290.862036273911
18256711,543,-0.082668382083704401,139.596124,1683.563646499972007676130367,3194290.862036273911
18256753,156,-1.018545646328851925,1719.968765,1683.607700856841817274821131,3194290.862036273911
18256774,357,-0.006397508225571273,10.803305,1683.607977568717610725825768,3194290.862036273911
18256818,309,0.036665598515027728,-61.545273,1683.606396427609543290206898,3194290.862036273911
18256825,258,0.03,-50.356647,1683.605102730672468408010255,3194290.862036273911
18256830,219,0.033,-55.392268,1683.603679665763941563845443,3194290.862036273911
18256888,282,-0.17477238257670946,295.133488,1683.611239105431474386574996,3194290.862036273911
18256912,174,-0.380667946512331813,642.828453,1683.627704333690055779870363,3194290.862036273911
18256912,183,0.014855129286259314,-24.93547,1683.627063720167113903063541,3194290.862036273911
18256929,328,0.050896086234959335,-85.432902,1683.624868876938518611055882,3194290.862036273911
18256950,108,-0.183964631793091111,310.660142,1683.632826061103440449742079,3194290.862036273911
18256955,185,-0.010763231278263147,18.17586,1683.633291614367676875479823,3194290.862036273911
18257000,258,-0.169954007051839564,287.001855,1683.640642837826555637284321,3194290.862036273911
18257143,234,0.065,-109.108241,1683.637839744156036551889286,3194290.862036273911
18257144,370,-0.320101511885171923,540.558911,1683.651685572960902666204219,3194290.862036273911
18257150,223,0.782677044173011785,-1313.789089,1683.617933135950175207660002,3194290.862036273911
18257152,27,2.699293583610228379,-4530.788719,1683.501535646768362957420477,3194290.862036273911
18257176,322,0.029789382085087495,-50,1683.500251152364533892943922,3194290.862036273911
18257180,137,1.26,-2114.81256,1683.445922303063102985400381,3194290.862036273911
18257205,27,13.126624296207365658,-22027.965309,1682.88008313423619521303542,3194290.862036273911
18257215,208,0.03072875,-51.557642,1682.878758868663813767980245,3194290.862036273911
18257217,145,0.208603320518126086,-350,1682.869769081384784531024166,3194290.862036273911
