blockNumber,amount0Burnt,amount1Burnt
18264316,4297802581.0,2.545590369650611e18
18278628,4234327835.0,2.579991466385927e18
18283158,444204162.0,2.7116848401992717e17
18284596,4900674.0,2989303843845563.0
18285613,187631990.0,1.1604447795343874e17
18290753,99999.0,61313640867482.0
18292956,4294521005.0,2.617534044190581e18
18307257,4281313869.0,2.6220134082968653e18
18319250,9999.0,6291126878826.0
18321562,4201367873.0,2.688606630285784e18
18334707,988011855.0,6.378547719719182e17
18335845,4237025875.0,2.7746821372764943e18
18338136,17499152.0,1.1347539637059022e16
18346085,1881650308.0,1.2124753384320783e18
18350136,4329355806.0,2.7848916678162616e18
18350440,4675854.0,3008361474805257.0
18359050,39922118.0,2.565066305288318e16
18364461,4330735954.0,2.74221027989959e18
18369999,269585758.0,1.6971262616755834e17
18378760,4286808632.0,2.7298075218311306e18
18387368,172396186.0,1.099638596999657e17
18393064,4335609343.0,2.705793048678639e18
18407367,4332411718.0,2.6563847572099333e18
18409364,22716472.0,1.3651253927304322e16
18410690,198083808.0,1.1682440557101195e17
18412712,471453250.0,2.8183514579950477e17
18416859,879486009.0,4.956334998508042e17
18419815,51923237278.0,2.8296475145933713e19
18421657,4502298579.0,2.520935373412196e18
18422821,166272925.0,9.378983318075134e16
18435934,4282941028.0,2.4159157083147325e18
18438831,1776435333.0,9.925495602527375e17
18443515,312652109.0,1.768411244735147e17
18444933,48900880.0,2.7461971807013316e16
18447364,60229731.0,3.3651028996782384e16
18450246,4314269411.0,2.4126953181234063e18
18452805,54248664.0,3.0632586699775396e16
18452903,47630800.0,2.6892413256543896e16
18453907,102005.0,57393814490804.0
18464526,4307814717.0,2.4040146597423544e18
18474082,28728153.0,1.5797590472839594e16
