blockNumber,amount0Minted,amount1Minted
18254036,700000.0,417546986322751.0
18264318,4293602392.0,2.543102595662844e18
18267031,6647712.0,3993987996037241.0
18274392,189353205.0,1.1497399608750568e17
18278649,4294540243.0,2.6169805792896727e18
18280549,82383928.0,5e16
18289379,12300000.0,7588684716897563.0
18290728,100000.0,61313640884780.0
18292958,4291297786.0,2.6155694742809216e18
18296510,500000.0,303846836253582.0
18300880,10000.0,6112567675859.0
18305448,12275595.0,7561122564334334.0
18307259,4294156301.0,2.6298785239422336e18
18310112,51922477.0,3.1898685845226296e16
18317225,45000000.0,2.837397558821817e16
18317378,500000.0,315461278437871.0
18319246,10000.0,6291126919809.0
18321564,4285691638.0,2.742568444248312e18
18330188,40000000.0,2.5594367767439116e16
18331076,5451908.0,3491559399459216.0
18331562,5464377.0,3495694801919822.0
18333041,190000000.0,1.2165344987584501e17
18335847,4290561440.0,2.8097407330757007e18
18338111,17491801.0,1.1352297063548724e16
18346903,1000000.0,644807428885269.0
18350137,4296378926.0,2.7636790340427715e18
18364463,4298531795.0,2.721818693192453e18
18368779,6187150.0,3894027186237778.0
18368819,2701481.0,1700240087456231.0
18368854,2000000.0,1258336838842594.0
18368873,2000000.0,1258285563688641.0
18368904,1000000.0,629143165201930.0
18368920,1000000.0,629068507731472.0
18368936,1584855.0,997000089527361.0
18368943,2000000.0,1258159376759843.0
18374059,20000000.0,1.2783853945333942e16
18378761,4291635567.0,2.7328812773363e18
18381421,2000000.0,1291334966788106.0
18381606,1080727.0,697899593682347.0
18381702,1080726.0,697911502667984.0
18381742,926305.0,598199883327652.0
18381768,771920.0,498499489526914.0
18382844,1000000.0,645596288195574.0
18393066,4293837390.0,2.679723758347355e18
18407369,4300396865.0,2.636755097680069e18
18410896,7.0,4125205185.0
18419659,49526177.0,2.708433046285093e16
18421659,4297307098.0,2.4061561631876567e18
18435936,4295041623.0,2.4227413960085217e18
18444874,25000000.0,1.4040341825071872e16
18445904,1000119616.0,5.594775048213169e17
18446071,16040682.0,8972791782561152.0
18450248,4302700159.0,2.406225374019938e18
18452861,8855124.0,4999999564196999.0
18461734,10000000.0,5597720362739704.0
18464527,4295618181.0,2.3972082732189906e18
