blockNumber,amount0In,amount1In,amount0Out,amount1Out
18252145,13018023.0,0.0,0.0,7756245860895535.0
18252177,152000000.0,0.0,0.0,9.056053301527413e16
18252181,402507376.0,0.0,0.0,2.3979036878557373e17
18252280,198250000.0,0.0,0.0,1.1809470468052038e17
18252301,50000000.0,0.0,0.0,2.978313591832956e16
18252389,0.0,6.7405e16,112480639.0,0.0
18252393,610000000.0,0.0,0.0,3.633297232662541e17
18252432,100221918.0,0.0,0.0,5.968781855651084e16
18252495,0.0,4.8243463060503496e16,80520623.0,0.0
18252518,0.0,3.822041708323722e16,63790246.0,0.0
18252562,0.0,1554110482851321.0,2593798.0,0.0
18252585,0.0,9.971569598629389e16,166420347.0,0.0
18252605,50000000.0,0.0,0.0,2.9780045136652348e16
18252620,23974000.0,0.0,0.0,1.4278771430742496e16
18252704,74343750.0,0.0,0.0,4.427801659788899e16
18252794,10000000.0,0.0,0.0,5955770894306396.0
18252971,32000000.0,0.0,0.0,1.905834228333184e16
18253062,0.0,8.224720624198922e16,137267965.0,0.0
18253071,99385140.0,0.0,0.0,5.919245384689889e16
18253113,49570437.0,0.0,0.0,2.9522800836359924e16
18253164,131241538.0,0.0,0.0,7.816168222384038e16
18253177,223000000.0,0.0,0.0,1.3280165804866032e17
18253201,52930439.0,0.0,0.0,3.151994482825524e16
18253206,0.0,2.1005156970147546e18,3504309278.0,0.0
18253251,38202783.0,0.0,0.0,2.2774266908271604e16
18253341,0.0,2.62875680713588e16,43831965.0,0.0
18253405,4965000.0,0.0,0.0,2959863500430766.0
18253413,2999394.0,0.0,0.0,1788073676058598.0
18253423,250000000.0,0.0,0.0,1.4903037802764794e17
18253430,750000000.0,0.0,0.0,4.470215261781304e17
18253440,800000000.0,0.0,0.0,4.7670782756022726e17
18253462,29737500.0,0.0,0.0,1.771783003241927e16
18253587,9077095.0,0.0,0.0,5408169924585143.0
18253625,0.0,1.1783664561695484e16,19659230.0,0.0
18253643,800000000.0,0.0,0.0,4.7658618216190285e17
18253663,19757652.0,0.0,0.0,1.1768774801351892e16
18253696,6758433348.0,0.0,0.0,4.0214654523392543e18
18253696,12000000.0,0.0,0.0,7132817229597748.0
18253700,0.0,5947500000000000.0,9945922.0,0.0
18253761,0.0,3.5481602398355876e16,59334753.0,0.0
18253770,0.0,1.374359525384624e16,22982680.0,0.0
18253782,0.0,2.9801301526971565e17,498310772.0,0.0
18253782,0.0,2.9811859679196595e17,498409771.0,0.0
18253782,0.0,1.083057390837771e17,181051803.0,0.0
18253881,0.0,7.6e17,1270184166.0,0.0
18253913,0.0,7462441913148620.0,12469440.0,0.0
18253917,258275964.0,0.0,0.0,1.5363554719415152e17
