blockNumber,reserve0,reserve1
18251965,6409336819185.0,3.8302343666318364e21
18252145,6409349837208.0,3.830226610385975e21
18252177,6409501837208.0,3.83013604985296e21
18252181,6409904344584.0,3.8298962594841745e21
18252280,6410102594584.0,3.829778164779494e21
18252301,6410152594584.0,3.829748381643576e21
18252389,6410040113945.0,3.8298157866435755e21
18252393,6410650113945.0,3.8294524569203093e21
18252432,6410750335863.0,3.829392769101753e21
18252495,6410669815240.0,3.8294410125648137e21
18252518,6410606024994.0,3.829479232981897e21
18252562,6410603431196.0,3.8294807870923793e21
18252585,6410437010849.0,3.829580502788366e21
18252605,6410487010849.0,3.829550722743229e21
18252620,6410510984849.0,3.8295364439717986e21
18252704,6410585328599.0,3.8294921659552005e21
18252794,6410595328599.0,3.8294862101843065e21
18252971,6410627328599.0,3.829467151842023e21
18253062,6410490060634.0,3.829549399048265e21
18253071,6410589445774.0,3.829490206594418e21
18253113,6410639016211.0,3.8294606837935815e21
18253164,6410770257749.0,3.8293825221113576e21
18253177,6410993257749.0,3.829249720453309e21
18253201,6411046188188.0,3.8292182005084806e21
18253206,6407541878910.0,3.831318716205496e21
18253251,6407580081693.0,3.8312959419385874e21
18253341,6407536249728.0,3.831322229506659e21
18253405,6407541214728.0,3.8313192696431583e21
18253413,6407544214122.0,3.8313174815694824e21
18253423,6407794214122.0,3.8311684511914546e21
18253430,6408544214122.0,3.830721429665276e21
18253440,6409344214122.0,3.830244721837716e21
18253462,6409373951622.0,3.830227004007684e21
18253587,6409383028717.0,3.830221595837759e21
18253625,6409363369487.0,3.830233379502321e21
18253643,6410163369487.0,3.829756793320159e21
18253663,6410183127139.0,3.8297450245453576e21
18253696,6416941560487.0,3.8257235590930183e21
18253696,6416953560487.0,3.8257164262757887e21
18253700,6416943614565.0,3.825722373775789e21
18253761,6416884279812.0,3.825757855378187e21
18253770,6416861297132.0,3.825771598973441e21
18253782,6416362986360.0,3.826069611988711e21
18253782,6415864576589.0,3.826367730585503e21
18253782,6415683524786.0,3.8264760363245864e21
18253881,6414413340620.0,3.8272360363245867e21
18253913,6414400871180.0,3.8272434987664996e21
18253917,6414659147144.0,3.8270898632193055e21
18253919,6414306884429.0,3.82730067284952e21
18253938,6414801817173.0,3.8270062640515834e21
18253960,6414807479723.0,3.8270028959688153e21
18253981,6414827479723.0,3.826991000023258e21
18253994,6415276012320.0,3.826724233483989e21
18253999,6415277875495.0,3.8267231254310725e21
18254007,6415329326928.0,3.826692526889353e21
18254008,6415309409522.0,3.8267044432484284e21
18254036,6415310109522.0,3.826704860795415e21
18254071,6415484001774.0,3.826601448788344e21
18254095,6415652156774.0,3.8265014539920416e21
18254123,6416066721855.0,3.826254951694185e21
18254144,6416106535650.0,3.826231279905218e21
18254173,6416098571018.0,3.826236043894225e21
18254191,6416662760263.0,3.825900628786833e21
18254240,6416683760263.0,3.825888145254023e21
18254251,6416707760263.0,3.825873878459276e21
18254286,6416711549913.0,3.8258716257124153e21
