blockNumber,amount0Burnt,amount1Burnt
18252946,1.8301278204608614e18,3061840385.0
18257001,2972672419848686.0,5005754.0
18260105,1.3570291779000664e17,234272472.0
18263697,1770617438346405.0,3035553.0
18267273,4.887121009410876e17,812868125.0
18273305,2.0199301460223444e18,3341895530.0
18274415,7.730870086460482e16,126962149.0
18281573,1.5024242462112576e18,2474033334.0
18303028,7.145176379952503e18,11671388820.0
18304201,1.2414422903547656e19,20244860323.0
18314427,4.631578521776452e16,72719211.0
18317319,1.7950766633943402e17,284686542.0
18324471,5.805044188980837e18,9042469332.0
18331597,5.6888708837897126e17,889790244.0
18334707,7.824412082886299e17,1211055542.0
18338742,4.6222966457951226e17,713674203.0
18353038,1.119447864300463e18,1740303988.0
18360192,1.555703201199175e17,243176181.0
18367358,9.170921205340191e17,1462319367.0
18369999,2.8756138019083818e17,456211739.0
18374505,1.0011292485982904e17,156890943.0
18382030,1.8671666452722256e17,289126668.0
18388798,2.516286123397162e19,39847998967.0
18395949,5.08878519584925e19,81263313593.0
18403103,1.1378508740770419e19,18493744583.0
18405015,7309274276469657.0,11919322.0
18408186,3100764147653449.0,5080140.0
18412712,2.7876582836266755e17,466311798.0
18417383,1.0518741114813362e18,1927955873.0
18418030,9872053446400612.0,18040394.0
18424528,1.6649377801833538e19,29843426961.0
18438806,5.9390272784691976e16,106266585.0
18440578,1.3018958796442688e17,232331365.0
18450055,4987453789861250.0,8914252.0
18450993,1800682999016910.0,3210607.0
18467382,3.923772568320389e17,707570554.0
18474522,1.55471637311668e17,281817490.0
