blockNumber,amount0Minted,amount1Minted
18253750,1791134144445440.0,3000000.0
18273290,1.1442536678510436e16,18931230.0
18281511,6679401961239204.0,11000000.0
18284071,1545722417436553.0,2531159.0
18285820,9999999562706422.0,16139338.0
18296531,304077719776536.0,499931.0
18296932,4.446509454068709e16,73000000.0
18316963,443580814858115.0,700000.0
18330822,6389910200696592.0,10000000.0
18331401,6.405229758552477e16,100000000.0
18340382,1.3958359826286925e17,216165127.0
18341276,9999909430364.0,15471.0
18344874,9995801659606.0,15500.0
18348369,107629559774181.0,166636.0
18368841,996999620708350.0,1583768.0
18374540,6.295952e16,98665274.0
18382158,1.0959598779527442e17,169704553.0
18388828,6.300392e16,99999993.0
18437663,1.38503634857946e17,250000000.0
18438787,6999406254195775.0,12523987.0
18445060,5.6233159142202056e16,100000000.0
18450883,1800000000000000.0,3211807.0
18471532,1.2938162722442731e17,233131764.0
