blockNumber,amount0In,amount1In,amount0Out,amount1Out
18252069,2.4598e16,0.0,0.0,41055797.0
18252138,3585793087786200.0,0.0,0.0,5984909.0
18252169,5.845477041412588e16,0.0,0.0,97563462.0
18252198,7632625000000000.0,0.0,0.0,12739010.0
18252221,1.018177235509961e17,0.0,0.0,169932379.0
18252252,5e16,0.0,0.0,83446901.0
18252261,1e16,0.0,0.0,16689189.0
18252296,2973750000000000.0,0.0,0.0,4962935.0
18252297,3e16,0.0,0.0,50067132.0
18252309,2987652034142887.0,0.0,0.0,4986074.0
18252320,2.357102193676023e16,0.0,0.0,39337336.0
18252327,8921250000000000.0,0.0,0.0,14888452.0
18252350,9476298145579252.0,0.0,0.0,15814703.0
18252364,4956250000000000.0,0.0,0.0,8271311.0
18252394,4.55409521900839e16,0.0,0.0,76000961.0
18252415,1.3444112822994811e17,0.0,0.0,224354238.0
18252428,2982412712235945.0,0.0,0.0,4976895.0
18252430,8921250000000000.0,0.0,0.0,14887284.0
18252449,0.0,34857828.0,2.0763467186384656e16,0.0
18252470,1.33926676657906e17,0.0,0.0,223485080.0
18252509,3.271125e16,0.0,0.0,54583931.0
18252524,2.32796210793978e16,0.0,0.0,38845342.0
18252533,2984566805051000.0,0.0,0.0,4980147.0
18252607,3.889022306171532e16,0.0,0.0,64893000.0
18252658,8.5e16,0.0,0.0,141829353.0
18252725,1292891038892695.0,0.0,0.0,2157257.0
18252762,1.8491942e16,0.0,0.0,30854673.0
18252814,1.090375e16,0.0,0.0,18193317.0
18252828,6.721941470469836e17,0.0,0.0,1121435788.0
18252905,1.312443249442698e16,0.0,0.0,21892913.0
18252917,1.1827952867134256e16,0.0,0.0,19730157.0
18252941,1.435365827993853e17,0.0,0.0,239425692.0
18252966,2.5486201569013488e17,0.0,0.0,425089502.0
18252998,5947500000000000.0,0.0,0.0,9919462.0
18253018,0.0,154575233.0,9.212328184842525e16,0.0
18253048,0.0,400000000.0,2.383757791490695e17,0.0
18253060,0.0,23395000.0,1.3941331551544658e16,0.0
18253126,0.0,12681326.0,7556907245955347.0,0.0
18253137,0.0,316090204.0,1.8835374310706986e17,0.0
18253138,0.0,200000000.0,1.1917021723623909e17,0.0
18253142,0.0,3750000.0,2234389755528322.0,0.0
18253184,0.0,8000000.0,4766691783001638.0,0.0
18253195,0.0,5000000.0,2979177961124617.0,0.0
18253239,0.0,40000000.0,2.383330193821761e16,0.0
18253285,0.0,50596139.0,3.0146516091472292e16,0.0
18253307,0.0,9430000.0,5618604718972131.0,0.0
18253372,0.0,11338730.0,6755852760281916.0,0.0
18253386,0.0,100000000.0,5.95813409072713e16,0.0
18253410,0.0,99700000.0,5.940124869293052e16,0.0
18253421,0.0,59333303.0,3.5350136027744116e16,0.0
18253475,0.0,400000000.0,2.3830321934665712e17,0.0
18253484,0.0,29228697.0,1.7412380981034248e16,0.0
18253491,0.0,79300000.0,4.72407235117267e16,0.0
18253524,0.0,30000000.0,1.7871426104225104e16,0.0
18253537,0.0,150000000.0,8.935530453807397e16,0.0
18253540,0.0,150000000.0,8.935225829631099e16,0.0
18253556,0.0,150000000.0,8.934921221039904e16,0.0
18253561,0.0,80000000.0,4.765166715259267e16,0.0
18253561,0.0,200000000.0,1.1912537998615614e17,0.0
18253573,0.0,82719460.0,4.926835170427404e16,0.0
18253606,0.0,25000000.0,1.4890011419869652e16,0.0
18253631,0.0,26696235.0,1.5900196362737692e16,0.0
18253634,0.0,199400000.0,1.1875898587945891e17,0.0
18253644,0.0,1650000000.0,9.825035347158268e17,0.0
18253675,0.0,831464240.0,4.949613120743956e17,0.0
18253696,2.2430820448001416e18,0.0,0.0,3744241431.0
18253703,0.0,23309620.0,1.388645106454851e16,0.0
18253705,0.0,3552366659.0,2.115425228525861e18,0.0
18253724,0.0,150000000.0,8.928699553338211e16,0.0
18253730,7e16,0.0,0.0,116894221.0
18253737,5500000000000000.0,0.0,0.0,9184413.0
18253751,0.0,800000000.0,4.761596570453835e17,0.0
18253769,0.0,106000000.0,6.308465444751544e16,0.0
18253773,0.0,289325855.0,1.7218115664400106e17,0.0
18253835,0.0,396790000.0,2.3611591311136243e17,0.0
18253863,0.0,400000000.0,2.3800453278346336e17,0.0
18253889,0.0,148687500.0,8.846523062210182e16,0.0
18253889,5779518900163438.0,0.0,0.0,9654784.0
18253898,0.0,200000000.0,1.1899039637120483e17,0.0
18253936,0.0,16580000.0,9864060924017688.0,0.0
18253942,0.0,49703028.0,2.9569964325332144e16,0.0
18253973,1000000000000000.0,0.0,0.0,1670801.0
18253985,0.0,198250000.0,1.1794216511138389e17,0.0
18254000,0.0,297375000.0,1.7690329339194115e17,0.0
18254013,0.0,450000000.0,2.676745794769613e17,0.0
18254034,0.0,49750001.0,2.959123106200344e16,0.0
18254036,0.0,64000000.0,3.806661894351533e16,0.0
18254040,0.0,309245183.0,1.83928439386225e17,0.0
18254045,0.0,27073100.0,1.6101536600333736e16,0.0
18254137,0.0,200273774.0,1.191083530692845e17,0.0
18254142,0.0,8409457.0,5001218016565646.0,0.0
18254149,0.0,401456250.0,2.387403765061444e17,0.0
18254159,0.0,493485876.0,2.934392848162342e17,0.0
18254159,0.0,150000000.0,8.918730329406384e16,0.0
18254169,0.0,1024380000.0,6.089968233689376e17,0.0
18254179,0.0,100000000.0,5.944268695472158e16,0.0
18254199,0.0,29521670.0,1.7548215655971088e16,0.0
18254202,0.0,437013696.0,2.5975512208504742e17,0.0
18254208,0.0,336399218.0,1.9993365923747203e17,0.0
