blockNumber,reserve0,reserve1
18251965,5.250991408156673e21,8790688104045.0
18252069,5.251016006156673e21,8790647048248.0
18252138,5.251019591949761e21,8790641063339.0
18252169,5.251078046720175e21,8790543499877.0
18252198,5.251085679345174e21,8790530760867.0
18252221,5.251187497068726e21,8790360828488.0
18252252,5.251237497068725e21,8790277381587.0
18252261,5.251247497068725e21,8790260692398.0
18252296,5.251250470818726e21,8790255729463.0
18252297,5.251280470818726e21,8790205662331.0
18252309,5.25128345847076e21,8790200676257.0
18252320,5.251307029492697e21,8790161338921.0
18252327,5.251315950742697e21,8790146450469.0
18252350,5.251325427040842e21,8790130635766.0
18252364,5.251330383290842e21,8790122364455.0
18252394,5.251375924243032e21,8790046363494.0
18252415,5.251510365371263e21,8789822009256.0
18252428,5.251513347783974e21,8789817032361.0
18252430,5.251522269033974e21,8789802145077.0
18252449,5.251501505566788e21,8789837002905.0
18252470,5.251635432243446e21,8789613517825.0
18252509,5.251668143493446e21,8789558933894.0
18252524,5.251691423114525e21,8789520088552.0
18252533,5.251694407681331e21,8789515108405.0
18252607,5.251733297904392e21,8789450215405.0
18252658,5.251818297904393e21,8789308386052.0
18252725,5.251819590795431e21,8789306228795.0
18252762,5.251838082737431e21,8789275374122.0
18252814,5.251848986487431e21,8789257180805.0
18252828,5.252521180634478e21,8788135745017.0
18252905,5.252534305066972e21,8788113852104.0
18252917,5.252546133019839e21,8788094121947.0
18252941,5.252689669602639e21,8787854696255.0
18252946,5.250859541782178e21,8784792855870.0
18252966,5.251114403797868e21,8784367766368.0
18252998,5.251120351297868e21,8784357846906.0
18253018,5.25102822801602e21,8784512422139.0
18253048,5.250789852236871e21,8784912422139.0
18253060,5.250775910905319e21,8784935817139.0
18253126,5.250768353998073e21,8784948498465.0
18253137,5.250580000254966e21,8785264588669.0
18253138,5.25046083003773e21,8785464588669.0
18253142,5.250458595647974e21,8785468338669.0
18253184,5.250453828956192e21,8785476338669.0
18253195,5.25045084977823e21,8785481338669.0
18253239,5.250427016476291e21,8785521338669.0
18253285,5.250396869960201e21,8785571934808.0
18253307,5.250391251355481e21,8785581364808.0
18253372,5.250384495502721e21,8785592703538.0
18253386,5.250324914161814e21,8785692703538.0
18253410,5.250265512913121e21,8785792403538.0
18253421,5.250230162777093e21,8785851736841.0
18253475,5.249991859557746e21,8786251736841.0
18253484,5.249974447176765e21,8786280965538.0
18253491,5.249927206453254e21,8786360265538.0
18253524,5.249909335027149e21,8786390265538.0
18253537,5.249819979722612e21,8786540265538.0
18253540,5.249730627464316e21,8786690265538.0
18253556,5.249641278252105e21,8786840265538.0
18253561,5.249593626584952e21,8786920265538.0
18253561,5.249474501204966e21,8787120265538.0
18253573,5.249425232853262e21,8787202984998.0
18253606,5.249410342841842e21,8787227984998.0
18253631,5.249394442645479e21,8787254681233.0
18253634,5.249275683659599e21,8787454081233.0
18253644,5.248293180124884e21,8789104081233.0
18253675,5.24779821881281e21,8789935545473.0
18253696,5.250041300857609e21,8786191304042.0
18253703,5.250027414406545e21,8786214613662.0
18253705,5.247911989178019e21,8789766980321.0
18253724,5.247822702182486e21,8789916980321.0
18253730,5.247892702182486e21,8789800086100.0
18253737,5.247898202182486e21,8789790901687.0
18253750,5.24789999331663e21,8789793901687.0
18253751,5.247423833659585e21,8790593901687.0
18253769,5.247360749005137e21,8790699901687.0
18253773,5.247188567848494e21,8790989227542.0
18253835,5.246952451935382e21,8791386017542.0
18253863,5.246714447402599e21,8791786017542.0
