blockNumber,amount0Minted,amount1Minted
18266874,10000000000.0,6.005096815102636e18
18272729,16016204069392.0,9.653e21
18289549,5000000.0,3084041530272297.0
18290365,10000000000.0,6.124834776401385e18
18293047,2072955.0,1255294510216982.0
18296648,25763637.0,1.5669714774006002e16
18299468,1000000.0,609140598022470.0
18301954,10000000000.0,6.12281299844382e18
18304062,499996033.0,3.0644250325186355e17
18305613,500000.0,308527505561961.0
18309181,19982184.0,1.2239276506871472e16
18314041,1581943.0,999928191152815.0
18314294,44247601.0,2.828761e16
18315057,29995910.0,1.897818690137616e16
18316261,10000000000.0,6.333486495891762e18
18330746,10000000000.0,6.384915938132786e18
18334156,100000001.0,6.459878242685359e16
18345443,10000000000.0,6.45146463140912e18
18357555,10000.0,6424894207462.0
18357724,10000.0,6404485165124.0
18359789,10000000000.0,6.380031968594516e18
18374151,1571108.0,1003000000000000.0
18380271,8786183.0,5631053505940256.0
18380911,10000000000.0,6.400021055702876e18
18383853,1000000.0,645026183212954.0
18397182,10000000000.0,6.241481964285642e18
18410600,169577.0,99999843215912.0
18421041,10000000000.0,5.611269686035842e18
18430021,1000000.0,560025921695103.0
18430460,10000000000.0,5.602335537110141e18
18459660,49995697689.0,2.785922010127717e19
18467709,892422766.0,4.962760494794604e17
18467869,10000000000.0,5.54485517057142e18
18470693,88717080.0,4.938636777686216e16
