blockNumber,amount0In,amount1In,amount0Out,amount1Out
18251997,0.0,10000000000000.0,16686.0,0.0
18251997,0.0,10000000000000.0,16686.0,0.0
18251999,0.0,1.1283540610761635e17,188286114.0,0.0
18252001,0.0,7185113012373504.0,11989564.0,0.0
18252002,0.0,8.523268947011996e17,1422178089.0,0.0
18252004,0.0,1e16,16684977.0,0.0
18252010,622570684.0,0.0,0.0,3.70889106699743e17
18252011,0.0,1.4074660427773402e17,234843629.0,0.0
18252017,0.0,8.032130724669665e17,1340131548.0,0.0
18252038,20000000.0,0.0,0.0,1.191582135883756e16
18252045,0.0,5e16,83419072.0,0.0
18252048,0.0,1.4984640312076728e16,25000000.0,0.0
18252050,0.0,1.4798370074056208e17,246889939.0,0.0
18252052,0.0,3.381798759432959e17,564189245.0,0.0
18252052,7290000.0,0.0,0.0,4343595559713446.0
18252053,0.0,2.5e16,41706903.0,0.0
18252054,0.0,1.4342206191941573e17,239265224.0,0.0
18252057,0.0,2.0980152857615984e16,35000000.0,0.0
18252072,0.0,4.196046166401586e16,70000000.0,0.0
18252081,92413364.0,0.0,0.0,5.506390119819891e16
18252086,895000000.0,0.0,0.0,5.332613538573099e17
18252088,0.0,1.4937e17,249199140.0,0.0
18252089,0.0,4000000000000000.0,6673277.0,0.0
18252091,0.0,6e16,100098790.0,0.0
18252095,47000000.0,0.0,0.0,2.800344225213581e16
18252106,305000000.0,0.0,0.0,1.8172220972987658e17
18252121,642000855.0,0.0,0.0,3.824980834919202e17
18252121,403614859.0,0.0,0.0,2.4046106451517744e17
18252130,70000000.0,0.0,0.0,4.170310480898768e16
18252136,5000000000.0,0.0,0.0,2.9782608823316086e18
18252137,0.0,1.1269451154022997e17,188093692.0,0.0
18252140,0.0,3.49143950011843e17,582725664.0,0.0
18252141,0.0,7800000000000000.0,13018023.0,0.0
18252142,236972173.0,0.0,0.0,1.4113469522702386e17
18252146,0.0,6.593274285975899e16,110041618.0,0.0
18252150,201000000.0,0.0,0.0,1.1970965114843339e17
18252152,68947808.0,0.0,0.0,4.106288227039843e16
18252161,0.0,3.394030852146709e16,56647053.0,0.0
18252162,0.0,1e16,16690156.0,0.0
18252195,50000000.0,0.0,0.0,2.977826579937448e16
18252202,20000000.0,0.0,0.0,1.1911276868707082e16
18252213,20202762.0,0.0,0.0,1.203201750995096e16
18252236,0.0,1.5677363119198881e18,2616349545.0,0.0
