blockNumber,reserve0,reserve1
18251965,28283995317792.0,1.6898965743489291e22
18251997,28283995301106.0,1.689896575348929e22
18251997,28283995284420.0,1.689896576348929e22
18251999,28283806998306.0,1.6899078598895398e22
18252001,28283795008742.0,1.689908578400841e22
18252002,28282372830653.0,1.689993811090311e22
18252004,28282356145676.0,1.689994811090311e22
18252010,28282978716360.0,1.6899577221796411e22
18252011,28282743872731.0,1.689971796840069e22
18252017,28281403741183.0,1.6900521181473155e22
18252038,28281423741183.0,1.6900509265651797e22
18252045,28281340322111.0,1.6900559265651797e22
18252048,28281315322111.0,1.6900574250292109e22
18252050,28281068432172.0,1.690072223399285e22
18252052,28280504242927.0,1.6901060413868793e22
18252052,28280511532927.0,1.6901056070273234e22
18252053,28280469826024.0,1.6901081070273233e22
18252054,28280230560800.0,1.6901224492335152e22
18252057,28280195560800.0,1.6901245472488011e22
18252072,28280125560800.0,1.6901287432949674e22
18252081,28280217974164.0,1.6901232369048477e22
18252086,28281112974164.0,1.690069910769462e22
18252088,28280863775024.0,1.6900848477694618e22
18252089,28280857101747.0,1.6900852477694619e22
18252091,28280757002957.0,1.6900912477694618e22
18252095,28280804002957.0,1.6900884474252367e22
18252106,28281109002957.0,1.6900702752042637e22
18252121,28281751003812.0,1.6900320253959146e22
18252121,28282154618671.0,1.690007979289463e22
18252130,28282224618671.0,1.690003808978982e22
18252136,28287224618671.0,1.689705982890749e22
18252137,28287036524979.0,1.689717252341903e22
18252140,28286453799315.0,1.6897521667369041e22
18252141,28286440781292.0,1.6897529467369041e22
18252142,28286677753465.0,1.6897388332673814e22
18252146,28286567711847.0,1.6897454265416674e22
18252150,28286768711847.0,1.6897334555765526e22
18252152,28286837659655.0,1.6897293492883257e22
18252161,28286781012602.0,1.6897327433191776e22
18252162,28286764322446.0,1.6897337433191776e22
18252195,28286814322446.0,1.6897307654925977e22
18252202,28286834322446.0,1.689729574364911e22
18252213,28286854525208.0,1.68972837116316e22
18252236,28284238175663.0,1.689885144794352e22
18252238,28283907618104.0,1.6899049541210126e22
18252266,28284207618104.0,1.6898870837038992e22
18252266,28284232618104.0,1.6898855945195808e22
18252277,28284764995442.0,1.6898538828233815e22
18252286,28284802995442.0,1.689851619353331e22
18252288,28285042995442.0,1.6898373238931533e22
18252299,28285034651391.0,1.6898378238931533e22
18252302,28285023651391.0,1.6898384830458107e22
18252305,28286023651391.0,1.6897789211516737e22
18252310,28286273651391.0,1.6897640313357701e22
18252313,28286312651391.0,1.6897617085482117e22
18252318,28286433651391.0,1.689754501991586e22
18252318,28286527749896.0,1.689748897685348e22
18252320,28286511060049.0,1.689749897685348e22
18252321,28285692516840.0,1.689798943512625e22
18252327,28285593490893.0,1.6898048771852952e22
18252345,28285517121660.0,1.689809453287442e22
18252348,28285516787887.0,1.689809473287442e22
18252349,28285609652702.0,1.6898039420976938e22
18252371,28286109652702.0,1.689774161851483e22
18252382,28286709652702.0,1.6897384269434518e22
18252383,28286708651298.0,1.6897384869434518e22
18252387,28287030648585.0,1.689719309994122e22
18252387,28287867580503.0,1.689669467509387e22
18252394,28288225090695.0,1.6896481773133962e22
18252398,28288184004522.0,1.6896506387675484e22
18252401,28288165171727.0,1.6896517670342436e22
18252408,28288079011172.0,1.689656928904494e22
18252419,28288037282031.0,1.689659428904494e22
18252421,28288032274543.0,1.689659728904494e22
18252435,28288057344950.0,1.6896582359290195e22
18252441,28288162662431.0,1.689651964164338e22
18252448,28287718438776.0,1.689678577901269e22
18252449,28288016847668.0,1.6896608070378839e22
18252455,28287832146621.0,1.6896718726148768e22
18252463,28287837357892.0,1.6896715622722405e22
18252472,28287937357892.0,1.6896656070746447e22
18252476,28287907589882.0,1.6896673904985874e22
18252479,28287874206969.0,1.6896693904985874e22
18252488,28285276453767.0,1.689825038675923e22
18252490,28285514702199.0,1.6898108480067522e22
18252492,28285547702199.0,1.6898088824635182e22
18252501,28285544364463.0,1.6898090824635184e22
18252503,28285506691243.0,1.6898113398777938e22
18252513,28285510028979.0,1.68981114107552e22
18252526,28285552904759.0,1.6898085873119295e22
18252528,28285534904759.0,1.6898096658872122e22
18252551,28285959430944.0,1.689784380678859e22
18252551,28286873140944.0,1.6897299617577817e22
18252553,28286263099537.0,1.6897665133150462e22
18252557,28285908797231.0,1.689787742600819e22
18252567,28285433149374.0,1.6898162435752576e22
18252574,28285532949374.0,1.6898102992739e22
18252578,28285661236704.0,1.6898026582677777e22
18252581,28286136884561.0,1.6897743284960661e22
18252588,28288636884561.0,1.6896254431451175e22
18252588,28288886884561.0,1.689610556056962e22
18252602,28291148057939.0,1.6894759188267291e22
18252604,28291128028625.0,1.6894771185267291e22
18252615,28290927474289.0,1.6894891312653516e22
18252630,28290878224066.0,1.6894920812653516e22
18252630,28290859859621.0,1.6894931812653516e22
18252632,28290956843583.0,1.6894874069048786e22
18252633,28290950223996.0,1.6894878034048785e22
18252638,28290621302796.0,1.6895075053581034e22
18252642,28290616338224.0,1.6895078027331033e22
18252652,28290552788818.0,1.689511609314366e22
18252663,28290532930633.0,1.6895127988143661e22
18252674,28290414399802.0,1.689519898814366e22
18252707,28290663884658.0,1.6895050442633168e22
18252710,28290618249294.0,1.6895077777906627e22
18252714,28290717815660.0,1.689501849574271e22
18252715,28290767677913.0,1.689498880773885e22
18252724,28290549824757.0,1.6895119300138958e22
18252731,28290539824757.0,1.689512529011203e22
18252740,28290569824221.0,1.6895107428182294e22
18252740,28290785335731.0,1.6894979111952008e22
18252756,28290946335731.0,1.6894883253320197e22
18252757,28290739169500.0,1.6895007342726864e22
18252764,28290745738171.0,1.689500343173729e22
18252765,28290719260241.0,1.689501929173729e22
18252767,28290919260241.0,1.689490021229391e22
18252769,28290888828182.0,1.6894918440554458e22
18252781,28290878811204.0,1.6894924440554458e22
18252785,28290707346749.0,1.6895027145509056e22
18252795,28290508177029.0,1.6895146447118004e22
18252801,28290482434103.0,1.6895161867118005e22
18252804,28290754434103.0,1.6894999916763566e22
18252805,28290570792380.0,1.6895109916763567e22
18252815,28290607955204.0,1.68950877897598e22
18252817,28290208858044.0,1.689532685023523e22
18252818,28290265452768.0,1.689529315250241e22
18252819,28290314557810.0,1.6895263914398669e22
18252827,28290289349455.0,1.689527901439867e22
18252827,28290489349455.0,1.6895159931315117e22
