blockNumber,amount0Burnt,amount1Burnt
18254007,4.395215151321121e16,73779913.0
18256476,5488159368279051.0,9242693.0
18257196,8.11093448455117e18,13643226329.0
18263362,9.800938104382171e17,1682701596.0
18265458,4.955935249359263e21,8244312898664.0
18265481,1.8975393508752504e21,3156054675072.0
18265497,3.553743928788866e21,5910781790286.0
18265531,8.047223631382197e18,13392822490.0
18273830,3.2424932214457064e16,53125734.0
18275862,6.286568797540236e17,1031852052.0
18276766,4.432869037680191e18,7303976248.0
18278270,1.562498012022438e16,25523176.0
18278469,1.0981922724175261e18,1801189076.0
18279982,5.800803656827163e16,95575547.0
18289273,9.41188996848529e16,152573268.0
18290064,6.120265899479987e17,996225809.0
18294304,2.6901513366692704e16,44553867.0
18297530,4.196860279168083e16,68837703.0
18299120,996913985941073.0,1635602.0
18299633,4.382809216837288e16,71870917.0
18308086,9.512537450367208e16,155523463.0
18310178,1.2631125678180042e20,206000667383.0
18317837,3936835037592761.0,6240633.0
18318542,5.097548574010559e18,8110223889.0
18322302,4.1645234684846035e17,651423256.0
18322337,3.1671189818259937e18,4954040945.0
18338512,1.433715966983807e20,221070723581.0
18341346,3.3461909581149485e17,517751956.0
18343484,2.6017116352287948e16,40183739.0
18348795,2.6247712070561546e17,406411874.0
18356853,997544733645031.0,1550303.0
18356902,998003077333815.0,1549594.0
18359463,4.1403843391882174e19,64404080444.0
18363203,1.9992700123262444e16,31682986.0
18367816,774622425306904.0,1230451.0
18373920,1.0100939996642222e20,158327416156.0
18383998,1.067342461753055e19,16541537311.0
18390163,2413864081627042.0,3825581.0
18391643,7.425208619129152e16,119660340.0
18394346,2.691422646074289e16,43234656.0
18406478,5.367494140701379e18,8763998273.0
18410401,2.3532315435785144e18,3981562370.0
18412433,5.131522746544416e17,857486493.0
18432405,8972955803236220.0,16194268.0
18438357,5.941916230271144e16,106437295.0
18442728,4.813933981890982e17,858807516.0
18446766,1.5059459557893095e21,2699358525363.0
18448060,3.85326273840925e18,6898190364.0
18456427,1.7160028502066704e21,3079671281400.0
18462960,1.832224740696489e19,33231029173.0
18463568,2.677469885383506e18,4878425406.0
18471796,2.7550342210947176e16,49666886.0
