blockNumber,amount0Minted,amount1Minted
18256686,8e18,13467060894.0
18265558,1.0415223530993951e22,17333333635773.0
18274755,1246034592000000.0,2048542.0
18278144,2.5e17,408342713.0
18299111,996932622532274.0,1635572.0
18324016,1.2740206000071412e16,20000000.0
18324033,6370037851097467.0,9999998.0
18331177,3.200392520907624e16,50000000.0
18349143,999350834882610.0,1548300.0
18354529,2.6192098323480992e17,406842245.0
18356752,997079077627007.0,1548300.0
18356771,499999386392457.0,776246.0
18356821,999874518710046.0,1552580.0
18356889,999146605055396.0,1552580.0
18363191,631997361813657.0,1001601.0
18369478,1183091372185863.0,1880000.0
18372146,1e16,15565485.0
18396754,6999917735100237.0,11173269.0
18404071,1.6712873164500163e19,27485043030.0
18426484,5.617902018289737e17,999985466.0
18429722,999999641424138.0,1792743.0
18432326,8972497778535025.0,16195071.0
