blockNumber,amount0In,amount1In,amount0Out,amount1Out
18251967,0.0,142571000.0,8.529080527818523e16,0.0
18251973,0.0,120882089.0,7.231522616075048e16,0.0
18251975,0.0,74171199.0,4.4371151770406904e16,0.0
18251978,0.0,30339725.0,1.814996374393744e16,0.0
18251978,0.0,13579999.0,8123876668483890.0,0.0
18251989,0.0,343965000.0,2.0576592854129354e17,0.0
18251996,0.0,614171951.0,3.6739856906396986e17,0.0
18251999,0.0,272058485.0,1.627417185276212e17,0.0
18252001,0.0,900000000.0,5.383500901910153e17,0.0
18252003,0.0,1210602533.0,7.240991176538179e17,0.0
18252008,0.0,100000000.0,5.9810904503015016e16,0.0
18252010,0.0,54724643.0,3.2731161105074104e16,0.0
18252013,0.0,1685365000.0,1.0079782647227347e18,0.0
18252015,0.0,1548068987.0,9.257802490093491e17,0.0
18252019,0.0,1096790000.0,6.558562922775332e17,0.0
18252020,3.2804129215915282e19,0.0,0.0,54447619498.0
18252020,0.0,58095927436.0,3.478924742022971e19,0.0
18252022,0.0,198026224.0,1.1838773713136757e17,0.0
18252027,0.0,234382127.0,1.4012099452320867e17,0.0
18252035,0.0,112394000.0,6.719200489602863e16,0.0
18252038,0.0,30000000.0,1.7934694454400546e16,0.0
18252047,0.0,9993861743.0,5.972876660033584e18,0.0
18252055,0.0,150671995.0,9.002401732415592e16,0.0
18252057,5.4236734957101704e16,0.0,0.0,90231617.0
18252058,0.0,500000000.0,2.9873775520605606e17,0.0
18252058,8701949748034660.0,0.0,0.0,14477471.0
18252062,0.0,484082069.0,2.8921939683487354e17,0.0
18252065,0.0,10000000.0,5974510988030041.0,0.0
18252067,0.0,90000000.0,5.37704475444616e16,0.0
18252072,8000000000000000.0,0.0,0.0,13310062.0
18252079,0.0,15393063.0,9196556094027772.0,0.0
18252086,0.0,997913838.0,5.961847171027455e17,0.0
18252088,0.0,6508895.0,3888505778074849.0,0.0
18252094,0.0,500000000.0,2.9870280268676646e17,0.0
18252094,0.0,500000000.0,2.9869438547539226e17,0.0
18252096,0.0,101086590.0,6.038696988199592e16,0.0
18252097,0.0,90000000.0,5.376378827530667e16,0.0
18252098,3.5853859667994e17,0.0,0.0,596585466.0
18252102,0.0,50000000.0,2.986966068290006e16,0.0
18252102,0.0,20000000.0,1.194784069006128e16,0.0
18252103,9.3918503035144e16,0.0,0.0,156271715.0
18252105,0.0,101422451.0,6.058929247666399e16,0.0
18252105,0.0,175000000.0,1.0454335819872267e17,0.0
18252109,1.7869054108451763e18,0.0,0.0,2973029283.0
18252111,0.0,986841992.0,5.896099519031044e17,0.0
18252111,0.0,659185443.0,3.9382623177596915e17,0.0
18252115,1.9740690435392864e17,0.0,0.0,328442747.0
18252119,1.928711377926879e19,0.0,0.0,32060286457.0
18252119,0.0,17598052859.0,1.052769938275247e19,0.0
18252119,0.0,500000000.0,2.989629297443747e17,0.0
18252126,0.0,189359724.0,1.1322087383609768e17,0.0
18252129,0.0,4100000000.0,2.4511523495732854e18,0.0
18252132,0.0,365996849.0,2.1878072161281878e17,0.0
18252135,0.0,540069118.0,3.2282708127210144e17,0.0
18252139,0.0,1867456.0,1116257395064490.0,0.0
18252140,0.0,490000001.0,2.928896598585789e17,0.0
18252143,0.0,5964949000.0,3.564805026673672e18,0.0
18252152,0.0,30000000.0,1.7925728353931222e16,0.0
18252164,0.0,510493750.0,3.0502776950267456e17,0.0
18252165,2e18,0.0,0.0,3326877718.0
18252168,6e16,0.0,0.0,99796650.0
18252169,0.0,656305450.0,3.922155588344873e17,0.0
18252174,0.0,9402524439.0,5.617464434184945e18,0.0
18252174,0.0,665682449.0,3.975937842008799e17,0.0
18252174,0.0,155000000.0,9.257508634437496e16,0.0
18252184,3.033212365754629e16,0.0,0.0,50481469.0
18252185,0.0,1568836148.0,9.36958135496277e17,0.0
18252188,0.0,500000000.0,2.985982571642141e17,0.0
18252188,0.0,263651896.0,1.5744860406768656e17,0.0
18252193,0.0,50000000.0,2.9858918837670456e16,0.0
18252197,0.0,683090760.0,4.0791861629977235e17,0.0
18252197,0.0,10000000.0,5971543807998447.0,0.0
18252209,0.0,609771451.0,3.641213444589998e17,0.0
18252211,0.0,692669758.0,4.1360839241732134e17,0.0
18252216,0.0,60985944.0,3.641527833001982e16,0.0
18252217,0.0,702429105.0,4.194179874623977e17,0.0
18252219,0.0,99565323.0,5.944876511656988e16,0.0
18252220,1.1146015104590484e16,0.0,0.0,18555651.0
18252224,0.0,500000000.0,2.9853679241849274e17,0.0
18252232,0.0,712416902.0,4.2535078864274426e17,0.0
18252234,1.5903599204720934e16,0.0,0.0,26477752.0
18252238,0.0,1251382974.0,7.471020080463269e17,0.0
18252240,2.976253269205752e17,0.0,0.0,495541237.0
18252241,0.0,1000000.0,597016698467425.0,0.0
18252250,0.0,300413482.0,1.7935034461152826e17,0.0
18252252,0.0,1193265350.0,7.123633520521885e17,0.0
18252253,0.0,1290978044.0,7.70642587298892e17,0.0
18252256,0.0,100000000.0,5.969213474908825e16,0.0
18252257,0.0,50000000.0,2.9845941204908988e16,0.0
18252266,0.0,269298796.0,1.6074807634936448e17,0.0
18252267,0.0,16936628.0,1.010961961710868e16,0.0
18252270,0.0,26000000.0,1.5519605924216452e16,0.0
18252279,0.0,598200000.0,3.5706404842696064e17,0.0
18252283,0.0,63323063.0,3.779666902941864e16,0.0
18252292,0.0,297883906.0,1.778010164271692e17,0.0
18252297,6e16,0.0,0.0,99921004.0
18252299,0.0,500000000.0,2.984350989139845e17,0.0
18252300,0.0,100000000.0,5.9686010057529256e16,0.0
18252305,0.0,991250000.0,5.916194123440573e17,0.0
18252307,0.0,324025000.0,1.933844872951083e17,0.0
18252313,9.919743661320462e17,0.0,0.0,1652081173.0
18252338,0.0,70998937.0,4.2377044424186e16,0.0
18252344,0.0,99125000.0,5.916432811817749e16,0.0
18252357,0.0,236744383.0,1.4130330318444874e17,0.0
18252358,0.0,298500293.0,1.781602633513607e17,0.0
18252372,1.08e16,0.0,0.0,17986697.0
18252374,0.0,8808105.0,5257087968256169.0,0.0
18252376,0.0,598200000.0,3.570275711445317e17,0.0
18252380,0.0,72329416.0,4.316801644075204e16,0.0
18252380,0.0,22620882.0,1.3500675748745576e16,0.0
18252386,2.912284087383512e18,0.0,0.0,4849745421.0
18252395,0.0,72715027.0,4.340982041766882e16,0.0
18252400,0.0,498500000.0,2.975925136821833e17,0.0
18252406,0.0,46790000.0,2.7932075355539004e16,0.0
18252406,0.0,8040514862.0,4.798828600770804e18,0.0
