blockNumber,reserve0,reserve1
18251965,2.124630236104061e22,35408355224560.0
18251967,2.1246217070235332e22,35408497795560.0
18251973,2.124614475500917e22,35408618677649.0
18251975,2.12461003838574e22,35408692848848.0
18251978,2.1246082233893655e22,35408723188573.0
18251978,2.1246074110016987e22,35408736768572.0
18251989,2.1245868344088447e22,35409080733572.0
18251996,2.1245500945519383e22,35409694905523.0
18251999,2.1245338203800855e22,35409966964008.0
18252001,2.1244799853710662e22,35410866964008.0
18252003,2.124407575459301e22,35412077566541.0
18252008,2.1244015943688506e22,35412177566541.0
18252010,2.12439832125274e22,35412232291184.0
18252013,2.124297523426268e22,35413917656184.0
18252015,2.124204945401367e22,35415465725171.0
18252019,2.1241393597721392e22,35416562515171.0
18252020,2.127419772693731e22,35362114895673.0
18252020,2.123940847951708e22,35420210823109.0
18252022,2.1239290091779947e22,35420408849333.0
18252027,2.123914997078542e22,35420643231460.0
18252035,2.1239082778780527e22,35420755625460.0
18252038,2.123906484408607e22,35420785625460.0
18252047,2.1233091967426037e22,35430779487203.0
18252055,2.1233001943408715e22,35430930159198.0
18252057,2.1233056180143674e22,35430839927581.0
18252058,2.1232757442388465e22,35431339927581.0
18252058,2.1232766144338215e22,35431325450110.0
18252062,2.123247692494138e22,35431809532179.0
18252065,2.123247095043039e22,35431819532179.0
18252067,2.1232417179982847e22,35431909532179.0
18252072,2.1232425179982848e22,35431896222117.0
18252079,2.123241598342675e22,35431911615180.0
18252086,2.123181979870965e22,35432909529018.0
18252088,2.123181591020387e22,35432916037913.0
18252094,2.1231517207401186e22,35433416037913.0
18252094,2.123121851301571e22,35433916037913.0
18252096,2.123115812604583e22,35434017124503.0
18252097,2.1231104362257553e22,35434107124503.0
18252098,2.123146290085423e22,35433510539037.0
18252102,2.123143303119355e22,35433560539037.0
18252102,2.1231421083352857e22,35433580539037.0
18252103,2.1231515001855893e22,35433424267322.0
18252105,2.1231454412563416e22,35433525689773.0
18252105,2.123134986920522e22,35433700689773.0
18252109,2.1233136774616065e22,35430727660490.0
18252111,2.123254716466416e22,35431714502482.0
18252111,2.1232153338432385e22,35432373687925.0
18252115,2.123235074533674e22,35432045245178.0
18252119,2.1251637859116007e22,35399984958721.0
18252119,2.1241110159733255e22,35417583011580.0
18252119,2.124081119680351e22,35418083011580.0
18252126,2.1240697975929676e22,35418272371304.0
18252129,2.12382468235801e22,35422372371304.0
18252132,2.1238028042858488e22,35422738368153.0
18252135,2.1237705215777217e22,35423278437271.0
18252139,2.1237704099519823e22,35423280304727.0
18252140,2.1237411209859964e22,35423770304728.0
18252143,2.123384640483329e22,35429735253728.0
18252152,2.1233828479104937e22,35429765253728.0
18252164,2.123352345133543e22,35430275747478.0
18252165,2.123552345133543e22,35426948869760.0
18252168,2.123558345133543e22,35426849073110.0
18252169,2.12351912357766e22,35427505378560.0
18252174,2.1229573771342415e22,35436907902999.0
18252174,2.1229176177558213e22,35437573585448.0
18252174,2.1229083602471866e22,35437728585448.0
18252184,2.1229113934595525e22,35437678103979.0
18252185,2.1228176976460028e22,35439246940127.0
18252188,2.1227878378202865e22,35439746940127.0
18252188,2.12277209295988e22,35440010592023.0
18252193,2.122769107067996e22,35440060592023.0
18252197,2.122728315206366e22,35440743682783.0
18252197,2.1227277180519852e22,35440753682783.0
18252209,2.122691305917539e22,35441363454234.0
18252211,2.1226499450782976e22,35442056123992.0
18252216,2.1226463035504646e22,35442117109936.0
18252217,2.122604361751718e22,35442819539041.0
18252219,2.1225984168752067e22,35442919104364.0
18252220,2.122599531476717e22,35442900548713.0
18252224,2.1225696777974753e22,35443400548713.0
18252232,2.122527142718611e22,35444112965615.0
