block_time,block_number,tx_hash,index,amount0In,amount1In,amount0Out,amount1Out
2023-10-17 23:55:03.000 UTC,1.41534246e+08,0xb4496332dd9859539eda07b3d749fe6f48a43822dd708de548aa07ff59491387,14,22900817217759471,0,0,35711530
2023-10-17 23:59:07.000 UTC,1.41534862e+08,0x118a5ccd89e036015eab0d5b1eb98c256186fddb145aa2221c7d74a35639755e,11,0,244442395,155768753086477774,0
2023-10-17 23:59:27.000 UTC,1.41534912e+08,0x2acea908f1876047060989264e64b2da74e42df27f99fae3c328ae255a965fd0,11,0,236490492,150494872091148872,0
2023-10-17 23:59:18.000 UTC,1.41534898e+08,0x43b2517e7b824711efeb59b371f857b9174387519e5a1b5b4dc5bbc56ebc7125,11,0,240417094,153097727563458045,0
2023-10-17 23:59:56.000 UTC,1.41534985e+08,0x3fb9304015aa6058009463f73623024e2e851906b7fe31d0565055fca24d52c3,4,2000000000000000,0,0,3125022
2023-10-17 23:59:47.000 UTC,1.41534966e+08,0xdee8c623b9016c93f1577b8c3e8d19001a602cb1283064e0ad5efa7e91b283e7,4,2000000000000000,0,0,3125050
2023-10-27 16:47:51.000 UTC,1.4456266e+08,0x56f0fe9ff71e010419ad7f6fd041ee717b0fdb7612cfeb1ecf137974b1e695b1,63,317525590239360605,0,0,563491769
2023-10-27 16:55:53.000 UTC,1.44564465e+08,0xa1928eeeeed520f5a0e2cab0d1ee616f58c480cf2df7f82ed666562938e33f16,20,108701768786515162,0,0,192671073
2023-10-25 07:29:48.000 UTC,1.4379133e+08,0x72289af76754ada887f232c8dafe3d4fc278c90147a37d139464887aa780958d,82,129437475419837718,0,0,229973921
2023-10-25 07:29:48.000 UTC,1.43791331e+08,0xbba36b5579186d3c6a713db64e6ae5ea078bfd4607cc78a35a1a4823d3c995a2,79,192381246442940436,0,0,341494283
2023-10-25 07:30:06.000 UTC,1.43791414e+08,0xbaabf9b6a75bd3c3173f74b6f3d7ce174c37d00eceab427aaa22b89a516e5d7d,20,1141033007912,0,0,2024
2023-10-25 07:32:11.000 UTC,1.43791898e+08,0xdd92c0bd995ae9538988c0e34a25ca1f7cd48dad01d0bd798003e4ddc4d6a276,15,0,664154,372114132830369,0
2023-10-25 07:38:57.000 UTC,1.43793517e+08,0x6a6296388eec9594ebf86773bf82d8436b60a17193b492a6fbc287d46b869243,8,85073639449452126,0,0,150894507
2023-10-25 07:38:46.000 UTC,1.43793473e+08,0xdcb60fa104547c18b41362d1830f248256b57e5b890d032f522ba0f87fc8e5eb,75,441991983361,0,0,784
