block_time,block_number,tx_hash,index,amount0In,amount1In,amount0Out,amount1Out
2023-10-01 21:11:23.000 UTC,1.8258283e+07,0xa540b6e96d87bbf0b1aa09259bffe64e8d31511ef508ddb8f6f94b8c3eea81e7,154,0,991250000000000,1655396,0
2023-10-04 20:23:47.000 UTC,1.8279518e+07,0x51317a2628dcb93fd4c92fbf0824a18acbab941a2500dd697d067ebff69ccdf4,205,960243700,0,0,582496551116083167
2023-10-04 20:41:23.000 UTC,1.8279605e+07,0x27d0e39e8e2dc918f34b277beb0f99c2f206f501e7ad90bea1fdafe0dfa47478,275,0,35259376910294731,57784948,0
2023-10-04 20:53:35.000 UTC,1.8279665e+07,0x9f7e3c8ec380d0a7f2f8cb43d37ab3b6bccf892e352a6982800f91f76ae9d098,270,0,70000000000000000,114716618,0
2023-10-04 20:59:23.000 UTC,1.8279694e+07,0x6aa17858b5e5697087b3babecc396c572b6dfa0d745d0c0efe238274e560d904,108,0,58507833253926171,95879971,0
2023-10-04 21:07:23.000 UTC,1.8279734e+07,0xa6cec27c74e83a9f80d15d66a9fa1d061f8c16078d187a952c22299e4f80da53,283,0,798267846026515217,1307875987,0
2023-10-14 19:54:59.000 UTC,1.8350838e+07,0xcee2b822ec49763a00618fea3373397607bf1d3308ac2d418537ae1f9a21e1e5,330,7670589,0,0,4919280481498455
2023-10-14 19:58:47.000 UTC,1.8350857e+07,0x61de36716920b2f3cfcd7adf385150709f806f1d14c619454641f139fe154888,139,30751116,0,0,19721096608250239
2023-10-05 21:37:35.000 UTC,1.8287033e+07,0x785ad23a978baf43b2f43ec30ab5b3b2189ac9d6dfa81ed53e3d01e5f0bb9e05,120,0,12985375000000000,20925279,0
2023-10-05 21:45:11.000 UTC,1.8287071e+07,0xe062fb065cb0f6f3b4faebc340b91b83c31652343f2d795546a45ed37ba61d8e,231,0,447663476081729175,721302230,0
2023-10-15 22:16:47.000 UTC,1.8358701e+07,0x6a62db13d5a9e6eaa477526ad55cb08e0c3771980a03d8e28206fb263c29d9d1,291,11111000,0,0,7095531993699183
2023-10-15 22:31:11.000 UTC,1.8358772e+07,0x8184430d8143e6354e526b60dba0851d1c54b749390cc6f12dc87720bd580a80,109,27748126,0,0,17719960702037195
2023-10-15 22:42:35.000 UTC,1.8358829e+07,0xeb68fbdf40a227f28d05c32b0ba058fbacdb3888881a5b46e67264988fdd59c2,46,5000000,0,0,3192984468178876
2023-10-15 22:44:11.000 UTC,1.8358837e+07,0xfed0329f81b7c4c815288600c2ca2276299b1652fe0309ccd5569d45362f868f,243,504699562,0,0,322273134362364048
2023-10-15 22:47:47.000 UTC,1.8358855e+07,0xa3bf9dd177f61aa1dabeefae65e34e2a5936a0dd1ae3fd23e951decd4c7a94e4,94,0,2574508449618206720,4005415099,0
2023-10-15 22:48:35.000 UTC,1.8358859e+07,0x55292f0558b764d7f529139247f352be6216e7f097be1ad485e17023a5d80ded,45,0,2244536785512466692,3487818793,0
2023-10-15 22:54:35.000 UTC,1.8358888e+07,0x23ff81a9bddc5aa1e30a70a740f10fcb60f591382ed77ce549c0906210cbc681,74,5000000,0,0,3200208342820862
2023-10-17 08:22:59.000 UTC,1.8368872e+07,0x53f280578852347a7d492051eb73e448ad5ccfc3bb0a5301c9b0ad09c7b4ab52,51,127553241,0,0,80010085878455021
2023-10-17 08:23:59.000 UTC,1.8368877e+07,0x4ba9611f6aa27657bb0da6e5a565b97d0e9459bece55a390aa0068833c4b4353,236,0,1200000000000000,1901634,0
2023-10-17 08:30:23.000 UTC,1.8368909e+07,0xc20837ebb8c3a7096a7624ff25ece268dd2bfced54abb563bc9c7db15c67f46d,118,121483520,0,0,76199758290281537
2023-10-17 08:30:23.000 UTC,1.8368909e+07,0x8a810987c0f1b9e139042fc8ae19aab7d1f1584dce5f7460a9ed179d6f267886,253,250000000,0,0,156801596158066625
2023-10-17 08:33:11.000 UTC,1.8368923e+07,0xe2f6a15d20b81dc2e937fdf340f845af77f0aacad10918273f90d7999a48ab41,116,0,34000000000000000,53885558,0
2023-10-17 08:34:23.000 UTC,1.8368929e+07,0x32dc50a65e3e2065db83e8838c2920f2bca01d6b52be02bf14e0166d6d88a590,263,0,1000000000000000,1584855,0
2023-10-17 08:45:11.000 UTC,1.8368983e+07,0x83e5c042674ec806353b04f2e8710837a7daf1b950c823995fe2fcaf5db6dca1,62,0,16000000000000000,25357574,0
2023-10-17 08:45:47.000 UTC,1.8368986e+07,0x3e5efcf025e3e54e16dcbabbdad6c0887dcc77f45200dad0fce4641a51d4adbc,44,0,16000000000000000,25357368,0
2023-10-17 08:46:23.000 UTC,1.8368989e+07,0xa6278c47b54d164d1a5d27708752540025fb4fccd2fddd44b02c30b7e54a1925,82,0,16000000000000000,25357162,0
2023-10-17 08:46:59.000 UTC,1.8368992e+07,0xc1fa21f23a92b82bbf1e095a71bab0ad4f90eb13c9e389874ecafd64e6dea8f1,131,0,16000000000000000,25356956,0
2023-10-17 08:47:35.000 UTC,1.8368995e+07,0x661d87b4c3719202bfecad2bfd5c24deeb76d0f8427ce69786d9c3bba4718cbc,209,0,16000000000000000,25356750,0
2023-10-17 08:47:59.000 UTC,1.8368997e+07,0x8106982c43e033e90deef1e6e7d507f1e7c7c92264dfb4eed85a45bfd90b5eaa,85,0,16000000000000000,25356544,0
2023-10-17 08:48:11.000 UTC,1.8368998e+07,0xcf3b0ff88020966395ae84f72d3369a96971edc8aa10b2e3e9f3cbde15a8dd6b,547,0,16000000000000000,25356338,0
2023-10-17 08:48:35.000 UTC,1.8369e+07,0x3cacb021e955ddad960573d2f7ffeb0eafd2a3139cf9622cb0a91c01b80c9878,458,0,16000000000000000,25356132,0
2023-10-17 08:55:47.000 UTC,1.8369035e+07,0x9dd5c3afa7d3bc45492386a5a8bec8e9bdd643f7b693ec904ee92f01b7985bda,44,0,1000000000000000,1584751,0
2023-10-17 08:55:47.000 UTC,1.8369035e+07,0x4fde036b48de22668d64a4ea1a437a6649f24e6f315c4ae195f7890687e09003,302,260792159,0,0,163570784343713726
2023-10-17 09:00:11.000 UTC,1.8369057e+07,0xcafb02e85a60545028bd7372ebef552b921e6ee87163868d2165550223efd46d,345,62962200,0,0,39488316806328683
2023-10-17 09:03:59.000 UTC,1.8369076e+07,0x11b9a635a8916d02ebc10029b361bd348bad7340b1b7b2fd3d0013b68ae85194,278,99125000,0,0,62167111428709850
2023-10-17 09:07:23.000 UTC,1.8369093e+07,0x26027e75d9698d1f1939ab4336a7dacd23b834c4a5591e2dba5a480b2693aa11,164,0,995000000000000,1577039,0
2023-10-17 09:10:35.000 UTC,1.8369109e+07,0xab424b4a2b72c1f95378d1233724c752054c906e79fd784db3154ec5245500da,251,0,19352719609745361,30673219,0
2023-10-17 09:19:11.000 UTC,1.8369152e+07,0xff487b9784d39cbf291d956d9f63cf1ccf87288a3f483a93b71687fe36e031f9,135,0,9952398114888226,15774001,0
2023-10-17 09:25:23.000 UTC,1.8369183e+07,0x7ef1bfcdea5cf4976a81c6423cc51c0ef7efbfa8fb7a774f307af0da66118595,245,0,12539603299690900,19874465,0
2023-10-17 09:26:11.000 UTC,1.8369187e+07,0x1204baa84656826ce642325b6fca43e020fa515573d6f323a33b233bf04023af,322,0,65490229765135661,103795749,0
2023-10-17 09:28:23.000 UTC,1.8369198e+07,0xcb3161f75123880af8bb510581d8d87d87673ea12da78aaac7a4ceca5455c09f,115,1776561,0,0,1114229093576304
2023-10-17 09:37:59.000 UTC,1.8369246e+07,0x264f27301bb96f980f10156f4012f317af6b1743069774b56afea14def7be2d8,169,500000000,0,0,313566473020298624
2023-10-01 10:28:59.000 UTC,1.8255095e+07,0x4c4d241a5f610d7697bd817e276806bb78adb503d1be5c1bf41163c5221b1afc,312,3283926,0,0,1941316095367226
2023-10-01 10:33:35.000 UTC,1.8255118e+07,0xe724fc4dc79db40e67ec329f87007c1112a19d4065dee6a5d2bb11e5a0a66491,277,0,23424685359859422,39387530,0
2023-10-01 10:59:59.000 UTC,1.825525e+07,0x965e2dd45bfaec2a7348eb2efab5dcde4993f2d1f6d23c8265bf237933ae2e28,466,0,307476207751101694,516962383,0
2023-10-01 11:10:35.000 UTC,1.8255303e+07,0xed15d053752b6b21f929bac7785b68ba12b684570cc29f1918fae4f425aa13ba,159,3000000,0,0,1773776678419111
2023-10-01 11:17:35.000 UTC,1.8255338e+07,0x472a36e8dd70216dbdfafe5c08942394b52196d169b2743fe49363553eb9c230,351,0,4000000000000000,6724691,0
2023-10-01 11:19:23.000 UTC,1.8255347e+07,0xbab92334d1bd6c57d48127a72867a34865e59268a9866c288844f9b5488d5353,286,200000000,0,0,118248306309026550
2023-10-01 11:21:35.000 UTC,1.8255358e+07,0xd2a6a78b4b988ff7100055f25594e8f11483602a6401878b7caefd242e57d9e6,222,50000000,0,0,29560928654468878
2023-10-01 11:24:47.000 UTC,1.8255374e+07,0x4b1a23e6d99bed82cdbb6d3d1356c610e4d857fb7c5b55c1a686c111e5f46c5f,129,238867304,0,0,141216462411626462
2023-10-01 11:30:23.000 UTC,1.8255402e+07,0x192c5ef7bce3ce7aed160eb8e6118736180713e2a2929f0c7eb9c4d60d442974,291,203436394,0,0,120261732858246902
2023-10-01 11:42:59.000 UTC,1.8255464e+07,0xcce5c6bcd34b3fdbb4b06bcb4155fcacbe69b768a06b1aa8359a12b38582206a,209,178425000,0,0,105469958964481616
2023-10-01 11:48:59.000 UTC,1.8255494e+07,0x12e6e4c69ba71bac37d58538d5382f9bbc4565e551e0c60a826a846b50384e9d,288,484506181,0,0,286370152808115317
2023-10-01 11:55:35.000 UTC,1.8255526e+07,0xfafb42125c85f16a7bc0913a080e868d9a07d50340bcdccdd83473db77d81886,226,18006582,0,0,10642062440996786
2023-10-01 11:56:23.000 UTC,1.825553e+07,0xb2a31703b561b9518ce8f85e5d92108eb3be3e31be46165c60c63630f84c4090,151,0,400000000000000000,672684785,0
2023-10-01 11:57:59.000 UTC,1.8255538e+07,0xf1bfe8b9a14ef52fd018ef08c4ac70ea549ee9dc4cc1d15c8c13550160978e77,50,147000000,0,0,86894378499532802
2023-10-01 11:57:59.000 UTC,1.8255538e+07,0x0831eb5b9ed173f5c6a69bec041051caa31d308f5105bd16d6d77f0bc0945038,803,10000000,0,0,5911038016458478
2023-10-01 11:58:59.000 UTC,1.8255543e+07,0x4f5b611f4b65de2043411bee016a1311b908855bfb4a2214c7e4d0b5c19e3148,191,7200000,0,0,4255936010345596
2023-10-01 11:59:35.000 UTC,1.8255546e+07,0x36b5727b2e6fa8d16997b8cf23189475d0b49768faf65398c7883578fe10d848,420,0,88805477521860000,149333720,0
2023-10-04 21:08:47.000 UTC,1.8279741e+07,0x3784bb4afe7b4ea0eaaad53712d33a919c7f5d9a92d077f1f1ca0f4401ddb387,409,385033319,0,0,233632961026854321
2023-10-04 21:10:23.000 UTC,1.8279749e+07,0x72e61dd52bd525372f6e78196ea2013516d60f46764d9840316f5a93b7176e83,88,0,10000000000000000,16382482,0
2023-10-04 21:18:11.000 UTC,1.8279786e+07,0x5dac12a85f75b3a5f85f3f70e9a0bfbcfc1430126d522a3abfa9e7de88347b4d,124,0,901284809332276611,1476181442,0
2023-10-04 21:25:59.000 UTC,1.8279825e+07,0x48be6c7bf7d8af0fb84c481a39e1560a1fa693d76050e9f4f8004366c6899e58,271,0,404786764565215432,662761821,0
2023-10-04 21:26:59.000 UTC,1.827983e+07,0x3f7677b82b3a7c48647843dccdcbd5062595f38cfb44e8792c16b1a7d97f003e,104,99125000,0,0,60183996842285650
2023-10-04 21:27:59.000 UTC,1.8279835e+07,0xf2f9e1849957dd87aa290ca58ceb2f5f022b4cf5f64f619c88f8aa52b8477de5,375,991250000,0,0,601736964182158869
2023-10-04 21:29:11.000 UTC,1.8279841e+07,0x8f84b191623aab70c8b9428527801b3ab1254cc28ccad2afcb39f6cc82779789,317,23214158,0,0,14089873124235078
2023-10-04 21:30:23.000 UTC,1.8279847e+07,0xd4f057d39be96ef5b2e17e287f2a4a820b75cc7ebb416ed1795514126a159783,223,24712236,0,0,14999020963916779
2023-10-04 21:39:47.000 UTC,1.8279893e+07,0x2b656f6eb517525ed8d959c2e2709ebba683d584dc882aa1a15e130a9434aeb1,215,42016395,0,0,25501463816519213
2023-10-04 21:41:11.000 UTC,1.82799e+07,0xfd5d8e156860c7fc7eb9ba5fb37f23ba931f4ea50f643c23f424f078e921b6f3,734,110020761,0,0,66774492784815379
2023-10-04 21:43:59.000 UTC,1.8279914e+07,0x9f5cb787dcaf739f83db56115566aea2efb0bc076b629cd450d28772d7f6aa1d,75,770571920,0,0,467615720132621262
2023-10-04 21:50:59.000 UTC,1.8279949e+07,0x469a8e5c6a706c0540093e8080edb4a137867310b80df0c811bef3e6a782c81f,143,0,18838281596523560,30860732,0
2023-10-04 21:51:23.000 UTC,1.8279951e+07,0xd2db949733e62dadc9bc79d34e253b4e75cca34926b84f58776c41c5ea1bb3f1,337,37661693,0,0,22852028318232301
2023-10-04 21:53:59.000 UTC,1.8279964e+07,0x2393eee96b17e33fcaf772c483004ca43f67bcfab7fc13d55b851cdfaae183f7,115,20597037,0,0,12497573120746794
2023-10-04 21:56:35.000 UTC,1.8279977e+07,0xe34afa77963bc07aa2f9499a90769b8c26d0cec92c0450baa6e763a6971afe43,386,148894685,0,0,90341766739969855
